bnumber,reaction,gene_name,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b4036,MALTtexi,lamB,227574411740800.0,209000653538133.3,201934556256766.7,173140919122266.66,92861779259700.0,325913285294799.94,646555037341199.9,225316441887966.72,381389912140800.0,257048186659566.7,193254985476566.7,258638676004800.0,254086868844800.0,223809250510300.0,364475105714133.3,357904884848799.94,946666666666666.8,1216666666666666.8,1100000000000000.0,573333333333333.4,130000000000000.0
b4213,3NTD9pp,cpdB,3259516135074133.0,2391799045436267.0,2964475807111300.0,2763775611388399.5,3369735187604199.5,6699749287566299.0,5709111250950467.0,2195365605437100.0,4120486152176800.0,2797523755388800.0,3220093309833900.0,3950104926348800.0,3697083350736000.0,2671458837380899.5,5805116926420533.0,4768222676108000.0,976666666666666.8,933333333333333.4,833333333333333.4,523333333333333.4,350000000000000.0
b3553,DKGLCNR2y,ghrB,3.2988909817054936e+16,2.5975215723953064e+16,3.35987620897244e+16,2.6825507833001736e+16,1.703508995422087e+16,2109032675796899.2,1.1953611305629934e+16,8484301239070600.0,1.1522466215264798e+16,1.490975868240723e+16,2.4478941952679868e+16,1.34260382411384e+16,1.4191218709553598e+16,8448447707260400.0,3614152292268465.5,4817670374412000.0,2246666666666666.8,3293333333333333.0,4730000000000000.0,4380000000000000.0,5446666666666667.0
b1093,3OAR80_reverse,fabG,3.972718815227199e+16,3.03307773790924e+16,4.151315660043293e+16,2.976149993234693e+16,3.991417366508459e+16,1.40246189399295e+16,2.7910373143159e+16,1.2597965079310098e+16,2.26933590300576e+16,1.9689346935545e+16,3.306995782849077e+16,2.32659810687992e+16,2.43546285223592e+16,1.49717952854064e+16,1.6686099824154934e+16,1.6410468431108004e+16,1.212e+16,1.1563333333333334e+16,1.1613333333333334e+16,1.178e+16,1.2633333333333334e+16
b2323,OPMEACPS,fabB,1.2990676470058024e+17,1.003860336612756e+17,1.27126353954392e+17,1.0058674833798547e+17,1.103870310052262e+17,6.0223253824888696e+16,8.799123108846459e+16,5.041679106870134e+16,7.168380468807759e+16,7.297857278111722e+16,1.054299161893714e+17,8.344000873821678e+16,8.49338063435536e+16,5.917467299415628e+16,6.254261841164258e+16,6.598702098375839e+16,1.7843333333333334e+16,1.4593333333333334e+16,9850000000000000.0,8670000000000000.0,7496666666666667.0
b1095,3OAS181,fabF,2.33682653116288e+16,1.60281558830008e+16,1.770660425635093e+16,1.7915792871917734e+16,1.2303461119647168e+16,4244338652080800.0,1.0153163318485198e+16,4132932881530867.0,6726812630731999.0,8777385244182366.0,1.5961151059947468e+16,1.02096544342088e+16,1.0553144617288798e+16,6821315623187099.0,4569396895338733.0,5904768469402400.0,2376666666666667.0,2843333333333333.0,3116666666666667.0,3133333333333333.0,3213333333333333.0
b0004,THRS,thrC,6.820700329590187e+16,4.7742361005411336e+16,6.5457522213458696e+16,5.616485966752266e+16,3.3833887175129376e+16,6633734060306499.0,2.740839790630067e+16,1.1709384085377402e+16,1.62080574964584e+16,3.064232548574237e+16,5.100254660850931e+16,3.54621290202048e+16,3.42420262408952e+16,2.3310838100561896e+16,7920289221437998.0,1.18659107729712e+16,1.0776666666666668e+16,1.35e+16,1.2923333333333334e+16,1.645e+16,1.8516666666666668e+16
b1192,UM4PCP,ldcA,986927359550933.6,901054378648666.8,579865663224999.9,712892015489733.5,389800674082433.4,86727500788600.0,158632333339133.34,78011802757033.34,141719533493600.0,625699813298566.5,463574145827633.3,411223595475200.0,224208097996000.0,159758396517299.97,33609969195000.0,211636074436800.0,266666666666666.7,270000000000000.0,233333333333333.3,176666666666666.7,203333333333333.3
b4266,5DGLCNR_reverse,idnO,6407109176011733.0,4897735357448267.0,5287567088426833.0,4946368748348534.0,5715991243581601.0,2521986200595399.5,4229504418101733.0,1823241540549766.8,3128256161435999.5,2952918008375033.0,1.4488321214583306e+17,4000932712528800.0,3231106716076799.5,3109123317206899.5,3593894628315199.5,4568017350265599.0,143333333333333.34,120000000000000.0,53333333333333.34,73333333333333.34,
b0159,MTAN,mtnN,2.7021006760596268e+16,1.946493630777173e+16,2.7947782482824696e+16,2.08815979293348e+16,2.1421998047766e+16,7178439520449400.0,1.7051405788943934e+16,9238847623933568.0,1.2488841556916e+16,1.3898614698008798e+16,2.1901414978321004e+16,1.5264399218824798e+16,1.4074234849677598e+16,1.0701850485851698e+16,9091738408218400.0,1.1912960355759998e+16,1820000000000000.0,1950000000000000.0,2073333333333333.2,2040000000000000.0,2443333333333333.0
b1927,AAMYL,amyA,701291609011199.9,348743709168400.0,611888400428700.0,554561188481066.7,51536959608766.66,33345682176800.0,135689476484466.64,107447475731033.34,231815697426400.0,548921698707433.25,327129436371866.7,269872674518400.0,277942767152000.0,132749739744299.98,64693841857333.31,67565128011200.0,470000000000000.0,276666666666666.7,336666666666666.7,316666666666666.7,283333333333333.4
b3571,AAMYLpp,malS,245461018296533.3,,54576392992199.99,188329209766133.3,,73526706574999.98,85799094972066.67,,,,52090573936533.33,,35890479307199.99,,101898198794333.31,173721676436799.97,,,,,
b2901,AB6PGH,bglA,258226442071466.7,153944408747733.34,91601555597233.31,157502095188666.7,81557373599433.34,,,,,80674777509833.33,,62654867114399.99,,,,37658964568000.0,2310000000000000.0,2180000000000000.0,2226666666666666.8,2070000000000000.0,2230000000000000.0
b1444,ABUTD,prr,312659745493333.4,356443685532666.7,378047176429400.0,197471996494266.62,242610574693033.3,551909105608000.0,696981530129733.2,1306997267564200.2,1831122465323200.0,3209601850670699.5,622760301739566.8,2488186334003200.0,1700285292834399.8,1435858359733699.8,748501428130866.6,812589610063999.9,1.3656666666666668e+16,,,,
b1993,ADOCBIK,cobU,318821554123733.3,68166969138800.0,,58590328326133.34,,87944571308300.0,287107221590800.0,56046339113566.67,189097636964000.0,211979372949533.3,233009433010166.62,156522303506399.97,185915776348800.03,169950431039900.0,,221346645564000.0,,,,,
b4069,ACS,acs,1966805568946132.8,946122027579866.8,766068154899500.0,920717496684533.6,544659786923133.4,1637127986484199.8,2096092310260000.0,1928806080393600.0,2865954068555999.5,3747943311276766.5,3382542547355334.0,7372436508091198.0,4842365982685599.0,1533807579420199.8,1927725313626932.8,2052466660032000.0,3.5816666666666668e+16,3.424e+16,2.072e+16,8513333333333334.0,2930000000000000.0
b1119,ACGAMK,nagK,1149308429299199.8,439078875304533.3,173842788690233.3,257169292818666.7,212892944065733.3,123547788837900.0,302667178846066.6,120446692300566.69,212415837382400.0,368023544515033.3,465381373232266.6,445028806953600.0,450955121114400.0,187480360365200.0,77706664362066.67,763548047335199.9,363333333333333.4,,,,
b3959,ACGK,argB,4.48377615006336e+16,3.1762775405685336e+16,4.362188878196399e+16,3.23387000805596e+16,3.41851117047904e+16,1.0719537987547198e+16,2.1291034843975868e+16,1.4037384203125334e+16,1.66110255150336e+16,1.7851103388068768e+16,3.0756033576354736e+16,1.75419658450416e+16,1.7416854900474398e+16,1.90089460447376e+16,1.6001142649251464e+16,1.4935526366649598e+16,2036666666666666.8,2266666666666667.0,2470000000000000.0,2603333333333333.0,3180000000000000.0
b2818,ACGS,argA,3807177108582399.0,2792389229826933.0,2296708278540899.5,2563669153402933.0,525005371055333.4,534746312888200.0,770262409486266.6,520219275895433.4,665856458486399.9,1182656030268233.0,2540317877946933.0,1167149717525599.8,1097253963166400.0,696116351075599.9,542392062675466.56,555202022318400.0,666666666666666.8,813333333333333.4,856666666666666.8,1313333333333333.5,1146666666666666.8
b2428,ACM6PH,murQ,631021417064533.2,470333753627733.4,471042541187466.56,599552985994666.8,487327098816200.0,773004453993800.0,1083762299264666.8,353964741896300.06,721080293808800.0,759329294227666.6,1062967938115433.4,1119516046169600.0,892006061311199.9,520745985383400.0,1059973034337066.4,1437072821916000.0,420000000000000.0,400000000000000.0,283333333333333.4,190000000000000.0,136666666666666.69
b3794,ACMAMUT,wecG,314920513258666.6,234921245020000.0,319516707047933.3,252758798178133.3,83969466753433.34,34207788278300.0,149785341562133.3,51899002895800.0,106476504475200.0,142392514009999.97,210174646615566.7,113896017139999.98,129105431591999.98,52913753815999.98,51399869683066.66,43593376559200.0,,,,,
b3225,ACNML,nanA,1220508411063466.5,1144782529059866.8,1054317576057966.8,1786090257745733.5,1613574268175933.5,700955118588900.0,1090469494968533.2,833158584678799.9,768902924307200.0,1086054467500266.8,2064033536589766.8,1154801208243200.0,1163871960306400.0,1001281738681000.0,1022635620949066.4,1261296405502400.0,,,,,
b0221,ACOAD8f_reverse,fadE,,,,,,,,,,,,,,,,,930000000000000.0,986666666666666.8,713333333333333.4,430000000000000.0,186666666666666.7
b3957,NACODA,argE,2.068914343458773e+16,1.5056755197528798e+16,1.5211672780429334e+16,1.355898195933587e+16,6905557552986100.0,2515847092991399.5,5816160817292800.0,3605812813510300.0,3764176356662400.0,5551836234691765.0,1.40614607584926e+16,5782251331027199.0,6679785248375199.0,5522794610130699.0,3992057718250067.0,4429518091752800.0,1280000000000000.0,1316666666666666.8,1443333333333333.5,1730000000000000.0,1980000000000000.0
b1519,ACONMT,tam,2845328497882667.0,2507643954392267.0,2854534670548066.5,2166420209708533.2,1627515271045066.5,2029536809745899.2,1943156729949066.8,1776525171600267.0,2666605022695199.5,1850946950161932.8,2755190976113767.0,2286742832439200.0,1839550222156799.5,1927388964867800.0,2126840396170600.0,2132289787485600.0,880000000000000.0,776666666666666.8,513333333333333.4,330000000000000.0,193333333333333.3
b4067,GLYCLTt4pp,actP,,,,,,,,,,,39248458365933.336,,,39336912063399.99,,64095745655200.0,3566666666666667.0,,,,
b1623,DADA,add,6511423760413866.0,4793603827299467.0,5433020392332299.0,5483338202933734.0,4071685236540933.5,6143507669486600.0,5337256344400066.0,4286898051064100.0,2875701262236799.5,3576733488994200.5,7091223862474034.0,3842632809465600.0,3366363164554399.5,1872890665163000.0,7053512005789332.0,5551880175404799.0,1463333333333333.5,1320000000000000.0,926666666666666.8,676666666666666.8,506666666666666.7
b1096,ADCL,pabC,298958310258133.4,268364193775066.7,296238773753933.4,246189725959333.3,550790900432900.0,277817773101400.0,318072714368933.3,114571115163200.0,208306253900800.0,99349806984199.98,347675142696000.0,114651541391200.0,146132742760000.0,229084117336200.0,371200890453066.6,382200474814400.0,,,,,
b3665,ADD,ade,344032211511466.6,448254286142133.3,125473723012000.0,128020710358800.0,98336201974633.31,57101501323300.0,269006480103400.0,87370642706699.98,137937102699200.0,225526154384366.62,480354856458466.7,264459188255200.0,386534922860800.0,191597112786100.0,124541213870333.31,236518123581600.0,,,,,
b0474,DADK_reverse,adk,4.911116590870506e+16,4.1255626081427336e+16,5.506646659187083e+16,3.843649826765187e+16,6.739335309952324e+16,2.22593498072806e+16,3.7752046107074e+16,1.4427163657591534e+16,3.38547346635976e+16,2.106514583631793e+16,4.0882693521023896e+16,3.28179545549432e+16,3.27618136083064e+16,2.372078661392789e+16,2.5662292483399e+16,3.1914314721808e+16,1.1183333333333334e+16,1.4623333333333334e+16,1.2093333333333334e+16,1.1376666666666668e+16,1.3246666666666668e+16
b0120,ADMDC,speD,1.8390046484094936e+16,1.5117818819907068e+16,1.5839835997047664e+16,1.374550297477e+16,9185466118482834.0,2091525472512700.0,7949160834842067.0,2843360780457500.0,3681158436263200.0,6466881730297499.0,1.1744641475436e+16,6622644524058399.0,7195783900817599.0,3851858309692400.0,2150147036139666.5,3679620949968800.0,,,,,
b0030,XTSNH,rihC,729083303436800.0,504467732723733.4,239177097362500.0,534680898088400.0,146172785772299.97,1044104530482300.0,2091156632649066.8,928386653173800.0,1420063740129599.8,1288296507139633.2,1514566822077400.0,2367236866836000.0,2044973137076800.0,978247628587600.0,1036302624043133.4,1180589861410399.8,833333333333333.4,870000000000000.0,623333333333333.4,333333333333333.4,113333333333333.34
b0411,URItex_reverse,tsx,5097597034651733.0,3436958312561200.0,3261880497821633.0,4236676519882800.0,1346667090300733.2,2686951365501199.5,2687551830876466.5,1099364575189633.4,2392071363232800.0,1860626624484600.0,5853084986011000.0,1992312010994400.0,2424917305795199.5,2375752201629799.5,2131946533367932.8,1254887487568799.8,926666666666666.8,813333333333333.4,790000000000000.0,753333333333333.4,536666666666666.7
