reactions,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,Chemostat_vilu_04,pyruvate_heinmann,succinate_heinmann,glycerol_heinmann,fumarate_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,42Cdeg_henimann,NaCl_50mM_heinmann
HSK,513333333333333,808909318043492,1255868532193680,888019105224243,666666666666667,1245224458965280,796666666666667,1404924486398890,2628201153704140,1266666666666670,2559622674539680,2641498538354170,2174133985066090,2242959500514440,1296666666666670,3069704487673550,2432555722239230,2321485668442300,3136017660414170,3279654291035240,2825108023733810
THRS,10776666666666700,3008496172474600,6487193399101050,3272846785718180,13500000000000000,5627797741825830,12923333333333300,4120107907281670,12129024163735900,16450000000000000,10571808662386400,11889592444755300,11585000183645500,12313239243126700,18516666666666700,13622793384694800,8108993463402560,8046108721790570,13321680331230800,14327770323347600,12179173725870200
4HTHRS,10776666666666700,3008496172474600,6487193399101050,3272846785718180,13500000000000000,5627797741825830,12923333333333300,4120107907281670,12129024163735900,16450000000000000,10571808662386400,11889592444755300,11585000183645500,12313239243126700,18516666666666700,13622793384694800,8108993463402560,8046108721790570,13321680331230800,14327770323347600,12179173725870200
MPTAT,646666666666667,806129942307619,1027550779447370,623254070480909,570000000000000,1028349832108610,553333333333333,797443246017500,968714111401609,433333333333333,787923463588254,1036206351108330,978756118938551,1194924475808890,400000000000000,771746025647097,985389027194872,488332605765057,883415784038125,892214218715714,656069962971905
RBFK,,24923090370158.7,36986965866666.7,5014474664545.46,,30024253862222.2,,6943326978055.56,64608546703448.3,,9724716633968.26,47744374370000,119773178043768,107366427665000,,100574493098065,14063224984615.4,11516414527126.4,94940263896458.3,100300139898333,69900432347142.9
FMNAT,,24923090370158.7,36986965866666.7,5014474664545.46,,30024253862222.2,,6943326978055.56,64608546703448.3,,9724716633968.26,47744374370000,119773178043768,107366427665000,,100574493098065,14063224984615.4,11516414527126.4,94940263896458.3,100300139898333,69900432347142.9
ILETRS,4996666666666670,175158768360318,93597467521754.4,226739659609697,5470000000000000,132752105543889,5240000000000000,326494666802500,465469171914253,4886666666666670,364291841058730,246155295846389,350539778315652,387239146747222,4456666666666670,425707318761075,281460364799487,386387518841379,625574838931667,676890284671429,442820903741190
DMPPS,576666666666667,651236583388889,743754826986316,756598911137576,643333333333333,765929075232500,643333333333333,928012220678889,1091132296775860,630000000000000,866675759813016,1018530787324440,1158050761668700,1154819451118060,620000000000000,1043436273108820,1063829650036920,920367011404138,1155031492069170,1293667709400240,1137548335917860
IPDPS,576666666666667,651236583388889,743754826986316,756598911137576,643333333333333,765929075232500,643333333333333,928012220678889,1091132296775860,630000000000000,866675759813016,1018530787324440,1158050761668700,1154819451118060,620000000000000,1043436273108820,1063829650036920,920367011404138,1155031492069170,1293667709400240,1137548335917860
XTSNH,833333333333333,473516793869524,514341636107368,428224224811212,870000000000000,493077687545000,623333333333333,409927035211945,360182359590345,333333333333333,443649718180318,710060117040556,487068622737101,821957245429167,113333333333333,49776711209677.4,618685394274872,34761661301379.3,142399082702500,136398188287857,128690748143810
ADNUC,833333333333333,473516793869524,514341636107368,428224224811212,870000000000000,493077687545000,623333333333333,409927035211945,360182359590345,333333333333333,443649718180318,710060117040556,487068622737101,821957245429167,113333333333333,49776711209677.4,618685394274872,34761661301379.3,142399082702500,136398188287857,128690748143810
INSH,833333333333333,473516793869524,514341636107368,428224224811212,870000000000000,493077687545000,623333333333333,409927035211945,360182359590345,333333333333333,443649718180318,710060117040556,487068622737101,821957245429167,113333333333333,49776711209677.4,618685394274872,34761661301379.3,142399082702500,136398188287857,128690748143810
DHDPRy,1976666666666670,200533961447936,230561560415088,222574350700303,2240000000000000,175993098820000,2196666666666670,355752245979722,669454067134713,2143333333333330,300123418960000,320318174739167,425445756934783,236734406030000,3653333333333330,592478569581290,467330024797949,654838873050345,1642158401913130,1270178229972860,1115807927302380
CRNCAR,,34100692376190.5,32340064495789.5,107443770107273,,32795580290277.8,,99157354198888.9,24582807615862.1,,30441438307301.6,61358985081388.9,33959302452753.6,44606074512777.8,,40217580530322.6,72129218617435.9,45178412634942.5,123701828200833,18016432035000,
CRNCAR_reverse,,34100692376190.5,32340064495789.5,107443770107273,,32795580290277.8,,99157354198888.9,24582807615862.1,,30441438307301.6,61358985081388.9,33959302452753.6,44606074512777.8,,40217580530322.6,72129218617435.9,45178412634942.5,123701828200833,18016432035000,
CRNCDH,,34100692376190.5,32340064495789.5,107443770107273,,32795580290277.8,,99157354198888.9,24582807615862.1,,30441438307301.6,61358985081388.9,33959302452753.6,44606074512777.8,,40217580530322.6,72129218617435.9,45178412634942.5,123701828200833,18016432035000,
CRNCDH_reverse,,34100692376190.5,32340064495789.5,107443770107273,,32795580290277.8,,99157354198888.9,24582807615862.1,,30441438307301.6,61358985081388.9,33959302452753.6,44606074512777.8,,40217580530322.6,72129218617435.9,45178412634942.5,123701828200833,18016432035000,
GP4GH,316666666666667,257598423742857,198357337368070,207743070876970,303333333333333,213982500957500,270000000000000,190913131203056,194197202020460,236666666666667,208981899217778,214786216874444,214353608336522,233935030060278,233333333333333,282573058260645,247245899724359,197587502042989,208783780230417,200520833634524,195734551575476
AP5AH,316666666666667,257598423742857,198357337368070,207743070876970,303333333333333,213982500957500,270000000000000,190913131203056,194197202020460,236666666666667,208981899217778,214786216874444,214353608336522,233935030060278,233333333333333,282573058260645,247245899724359,197587502042989,208783780230417,200520833634524,195734551575476
AP4AH,316666666666667,257598423742857,198357337368070,207743070876970,303333333333333,213982500957500,270000000000000,190913131203056,194197202020460,236666666666667,208981899217778,214786216874444,214353608336522,233935030060278,233333333333333,282573058260645,247245899724359,197587502042989,208783780230417,200520833634524,195734551575476
ARAI_reverse,293333333333333,,,,,,,,,,,,,,,,,,,,
ARAI,293333333333333,,,,,,,,,,,,,,,,,,,,
IPMD,13253333333333300,12358658895120600,12376288700598900,9919254676780300,18573333333333300,10672507579033100,16063333333333300,7257878579764450,9923924705647820,11660000000000000,6785158462152380,9537036410222500,9497333392307250,9109726882895280,10820000000000000,8822858941383870,9113019100391280,10297573755255400,10997719630003800,12358399227784000,11212702836311400
IPPS,16790000000000000,5383540867620950,6212247636062460,4284652903742730,20146666666666700,6669495495033610,14990000000000000,4104072280991390,5114110806714480,10990000000000000,3061744567590160,4945300472391670,5693374731066380,4826124386652220,8576666666666670,4622566076879570,4549045121691540,4121608959241610,5530671743163330,6056855163791900,5452249873413330
UAAGDS,303333333333333,341265584955873,369861840780351,338158019089697,503333333333333,407905696573611,363333333333333,401604047955278,585936153548276,393333333333333,413510700508254,511624682271945,614869481597391,641002618030000,480000000000000,757630240567742,512992863791026,717662100977701,720512700168958,782102104392381,696687606312143
UGMDDS,430000000000000,29364587365714.3,108392192728421,43524173856363.6,406666666666667,112496164293889,410000000000000,54041043276388.9,232517417608506,483333333333333,95533638564761.9,165504737503611,219540027217391,243105173690833,516666666666667,259884564080215,84186452050000,80596367321609.2,301452100756875,310768330742857,228771611174048
UAMAGS,320000000000000,1497181251867940,1866888228254390,1442433067754550,290000000000000,2096296318726940,246666666666667,999119643742778,1607607756986670,330000000000000,1415126622753650,1750770329326390,1991204349042030,2353451162356110,260000000000000,1862670082023870,1594720109487440,1454524109100690,1517044627731040,1586033974441430,1359241350602620
