reaction,Chemostat u=0.11,Chemostat u=0.12,Chemostat u=0.20,Chemostat u=0.21 (1),Chemostat u=0.21,Chemostat u=0.22,Galactose ,Chemostat u=0.26,Acetate,Chemostat u=0.31 (1),Chemostat u=0.31,Chemostat u=0.35,Chemostat u=0.36,Pyruvate,Chemostat u=0.4,Chemostat u=0.41,Fumarate,Succinate,Glucosamine,Chemostat u=0.46,Glycerol,Mannose,Chemostat u=0.49,Chemostat u=0.5,Chemostat u=0.51,Xylose,Glucose + salts,Glucose,pH6 glucose,Fructose,42C glucose
DM_4CRSOL,2.453e-05,2.6759999999999998e-05,4.46e-05,4.683e-05,4.683e-05,4.906e-05,5.7980000000000004e-05,5.7980000000000004e-05,6.69e-05,6.913e-05,6.913e-05,7.805e-05,8.028e-05,8.92e-05,8.92e-05,9.143e-05,9.366e-05,9.812e-05,0.00010258000000000001,0.00010258000000000001,0.00010481,0.00010481,0.00010927,0.0001115,0.00011373,0.00012265,0.00012265,0.00012933999999999998,0.00014049,0.00014495,0.00014718
DM_5DRIB,2.4750000000000002e-05,2.7e-05,4.5e-05,4.7249999999999997e-05,4.7249999999999997e-05,4.9500000000000004e-05,5.8500000000000006e-05,5.8500000000000006e-05,6.75e-05,6.975e-05,6.975e-05,7.875e-05,8.1e-05,9e-05,9e-05,9.224999999999999e-05,9.449999999999999e-05,9.900000000000001e-05,0.00010350000000000001,0.00010350000000000001,0.00010575,0.00010575,0.00011025,0.0001125,0.00011475,0.00012375,0.00012375,0.00013049999999999997,0.00014175,0.00014625,0.0001485
DM_AACALD,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DM_AMOB,2.1999999999999998e-07,2.4e-07,4e-07,4.1999999999999995e-07,4.1999999999999995e-07,4.3999999999999997e-07,5.2e-07,5.2e-07,6e-07,6.2e-07,6.2e-07,7e-07,7.2e-07,8e-07,8e-07,8.199999999999999e-07,8.399999999999999e-07,8.799999999999999e-07,9.2e-07,9.2e-07,9.399999999999999e-07,9.399999999999999e-07,9.8e-07,1e-06,1.02e-06,1.1e-06,1.1e-06,1.16e-06,1.26e-06,1.3e-06,1.32e-06
DM_MTHTHF,4.928e-05,5.3759999999999994e-05,8.96e-05,9.408e-05,9.408e-05,9.856e-05,0.00011648000000000001,0.00011648000000000001,0.0001344,0.00013888,0.00013888,0.0001568,0.00016128,0.0001792,0.0001792,0.00018368,0.00018816,0.00019712,0.00020608000000000003,0.00020608000000000003,0.00021056,0.00021056,0.00021952,0.000224,0.00022847999999999998,0.0002464,0.0002464,0.00025983999999999995,0.00028224,0.0002912,0.00029568000000000004
DM_OXAM,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Ec_biomass_iJO1366_WT_53p95M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ec_biomass_iJO1366_core_53p95M,0.11,0.12,0.2,0.21,0.21,0.22,0.26,0.26,0.3,0.31,0.31,0.35,0.36,0.4,0.4,0.41,0.42,0.44,0.46,0.46,0.47,0.47,0.49,0.5,0.51,0.55,0.55,0.58,0.63,0.65,0.66
EX_12ppd_R_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_12ppd_S_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
