reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
14GLUCANtexi,b4036,lamB,,,,,,,,,,,,,,,,,,,,,
23PDE2pp,b4213,cpdB,,,,,,,,,,,,,,,,,,,,,
23PDE4pp,b4213,cpdB,,,,,,,,,,,,,,,,,,,,,
23PDE7pp,b4213,cpdB,,,,,,,,,,,,,,,,,,,,,
23PDE9pp,b4213,cpdB,,,,,,,,,,,,,,,,,,,,,
2AGPA120tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA140tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA141tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA160tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA161tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA180tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA181tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE120tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE140tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE141tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE160tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE161tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE180tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE181tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPEAT120,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT140,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT141,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT160,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT161,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT180,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPEAT181,b2836,aas,,,,,,,,,,,,,,,,,,,,,
2AGPG120tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG140tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPG141tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
