reactions,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
DM_4CRSOL,nan,nan,4103420162212.703,4476458359204.229,6341649342432.124,7460763931575.249,7833802127540.671,10818107700890.23,11564184092580.773,13056336880328.65,14548489666500.232,14921527863429.078,14921527862939.604,14921527864817.334,17532795238463.213,17532795240266.473,18278871632796.266,18651909833474.332,18651909833474.332,20517100810513.867,22382291793304.992,24247482777584.74,24247482777584.74
DM_5DRIB,nan,nan,4140222136875.0,4516605967499.999,6398525120625.0,7527676612500.0,7904060443124.999,10915131088124.996,11667898749374.998,13173434071875.0,14678969394375.0,15055353225000.0,15055353225000.0,15055353225000.0,17690040039374.996,17690040039374.996,18442807700624.996,18819191594152.78,18819191594152.78,20701110684375.0,22583029837499.996,24464948956958.605,24464948956958.605
DM_AACALD,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_AMOB,nan,nan,36801974302.193405,40147608599.99999,56875778850.0,66912680999.99999,70258315142.09418,97023387449.99998,103714655343.11856,117097191324.35333,130479728002.03922,133825361999.99998,133825361999.99998,133825363225.88559,157244800349.99997,157244800349.99997,163936069000.73062,167281704785.45163,167281704785.45163,184009872750.0,200738042054.88458,217466214357.5716,217466214357.5716
DM_MTHTHF,nan,nan,8798205915399.848,9598042820774.24,13571135013395.303,15996738036097.113,16796574932965.531,23150759715580.91,24794943937827.97,27994291545507.977,31586019567767.56,31873994670487.156,31875290629237.06,31993476076354.35,37430159730877.38,37652423156518.72,39192008207600.51,37471101390377.41,37471101390377.41,41218211481358.24,44965321628426.51,48712431744776.695,48712431744776.695
DM_OXAM,nan,nan,215953337068.4132,235585462320.45255,341917435920.5513,392642435771.871,412274555571.8676,583270918670.4026,608595769042.3102,687124260444.1008,730192394230.8564,822187809461.5627,807378470343.9266,785284871803.75,958218685753.3333,945431874956.4214,961973970739.3579,0.0,0.0,0.0,0.0,0.0,0.0
Ec_biomass_iJO1366_WT_53p95M,nan,nan,27030452956.837902,29501586323.51648,42223369263.055786,49271037043.23054,51652580196.5622,71844591068.34384,76185161978.96976,86002524362.9656,97860359213.67299,100362677986.2521,101008168932.36041,98455587012.44891,118954690307.90448,117373262205.15913,120659227235.70813,0.0,0.0,0.0,0.0,0.0,0.0
Ec_biomass_iJO1366_core_53p95M,nan,nan,1.8400987275e+16,2.00738043e+16,2.8437889424999996e+16,3.34563405e+16,3.5129157524999996e+16,4.8511693725e+16,5.1857327775e+16,5.854859587499999e+16,6.5239863975e+16,6.6912681e+16,6.6912681e+16,6.6912681e+16,7.8622400175e+16,7.8622400175e+16,8.1968034225e+16,8.364085125e+16,8.364085125e+16,9.200493637500002e+16,1.003690215e+17,1.0873310662499998e+17,1.0873310662499998e+17
EX_12ppd_R_e,nan,nan,1004444500502.6473,1095757656451.4111,1495151253338.2566,1826262735203.471,1917575882451.2524,2550552117255.7144,2830707231945.2886,3195959800544.3594,4071309610293.1396,3456695457952.4365,3422363403906.6216,3652525496407.741,3982027469639.5176,4307833452486.0767,4474343764770.314,59950.41526207778,59950.41526207778,-18869.151767741954,0.0,0.0,0.0
EX_12ppd_S_e,nan,nan,981955562498.5984,1071224261242.5504,1462354276420.951,1785373754020.8223,1874642446248.3237,2494604334871.3726,2767329309255.447,3124404064440.746,3668059302242.7515,3364081846016.166,3347291956918.9126,3570747528108.6895,3894679477215.3696,4066460706266.08,4374165742746.089,0.0,0.0,0.0,0.0,0.0,0.0
EX_14glucan_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_15dap_e,nan,nan,269040417699.6174,293498643201.38165,414621168550.3105,489164402178.3961,513622619536.3384,707294928576.9625,758204818529.2219,856037698282.3802,939998627982.3246,955378023004.5505,1039171103673.9199,978328807151.878,1209108271202.2903,1136945600279.6619,1198452778804.3694,0.0,0.0,0.0,0.0,0.0,0.0
EX_23camp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23ccmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cgmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cump_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23dappa_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_26dap_M_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_34dhpac_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3hcinnm_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
