reactions,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
DM_4CRSOL,nan,nan,4103420162325.0,4476458358899.999,6341649341774.999,7460763931500.0,7833802128074.999,10818107700674.998,11564184093825.0,13056336880124.998,14548489666425.0,14921527863000.0,14921527863000.0,14921527863000.0,17532795239024.998,17532795239024.998,18278871632175.0,18651909828750.0,18651909828750.0,20517100811625.0,22382291794500.0,24247482777374.996,24247482777374.996
DM_5DRIB,nan,nan,4140222136875.0,4516605967499.999,6398525120625.0,7527676612500.0,7904060443124.999,10915131088124.996,11667898749374.998,13173434071875.0,14678969394375.0,15055353225000.0,15055353225000.0,15055353225000.0,17690040039374.996,17690040039374.996,18442807700624.996,18819191531249.996,18819191531249.996,20701110684375.0,22583029837499.996,24464948990625.0,24464948990625.0
DM_AACALD,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM_AMOB,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167281702500.0,167281702500.0,184009872750.0,200738042999.99997,217466213250.0,217466213250.0
DM_MTHTHF,nan,nan,8206840324651.107,8952916717798.162,12683298683552.445,14921527863001.578,15667604256148.414,21636215401353.832,23128368187645.938,26112673760258.586,29096979332857.117,29843055726000.36,29843055726000.36,29843055726003.156,35065590478067.516,35065590478053.586,36557743264345.305,37471101360012.516,37471101360012.516,41218211496012.31,44965321631984.27,48712431767988.47,48712431767988.47
DM_OXAM,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ec_biomass_iJO1366_WT_53p95M,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ec_biomass_iJO1366_core_53p95M,nan,nan,1.8400987275e+16,2.00738043e+16,2.8437889424999996e+16,3.34563405e+16,3.5129157524999996e+16,4.8511693725e+16,5.1857327775e+16,5.854859587499999e+16,6.5239863975e+16,6.6912681e+16,6.6912681e+16,6.6912681e+16,7.8622400175e+16,7.8622400175e+16,8.1968034225e+16,8.364085125e+16,8.364085125e+16,9.200493637500002e+16,1.003690215e+17,1.0873310662499998e+17,1.0873310662499998e+17
EX_12ppd_R_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_12ppd_S_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_14glucan_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_15dap_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23camp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23ccmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cgmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23cump_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23dappa_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_26dap_M_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_34dhpac_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3hcinnm_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3hpp_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3hpppn_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
