bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b0002,2168334195806933.5,1379992237444799.8,1931273569321466.8,1634412762029600.0,1013644374441900.0,152712471513699.97,296916466185733.3,99749712477433.34,151592492784799.97,723170819574866.6,1368897738660366.5,839959572913600.0,381178123445599.94,195388732710499.97,145656116913266.66,121979033537600.0,4280000000000000.0,5606666666666667.0,6676666666666667.0,1.008e+16,1.0056666666666668e+16
b0003,1.605641042132053e+16,1.1074423453036532e+16,1.4749930063271402e+16,1.2856244820858136e+16,9761847235799868.0,1783645046285899.8,8222038341168600.0,2266842700609600.0,3586246441819999.5,5750584390499799.0,1.10515858513259e+16,6459723361481601.0,7607515790459999.0,5643967997359999.0,2149006234642666.8,4046182520828800.0,513333333333333.4,666666666666666.8,796666666666666.8,1266666666666666.8,1296666666666666.8
b0004,6.820700329590187e+16,4.7742361005411336e+16,6.5457522213458696e+16,5.6164859667522664e+16,3.3833887175129376e+16,6633734060306499.0,2.740839790630067e+16,1.1709384085377402e+16,1.62080574964584e+16,3.064232548574237e+16,5.100254660850931e+16,3.5462129020204796e+16,3.4242026240895196e+16,2.3310838100561896e+16,7920289221437999.0,1.18659107729712e+16,1.0776666666666668e+16,1.35e+16,1.2923333333333334e+16,1.645e+16,1.8516666666666668e+16
b0006,7713785849559467.0,5701700149312533.0,6585437734268999.0,5872158144896399.0,5914904863093600.0,1459230987659899.8,3913893558753532.5,1695420853460099.8,2912546324168000.0,2992933710622633.0,5947864864759999.0,3497349963708000.0,3541064752990399.5,2924617783253599.5,2506684700389466.5,3487454903755999.5,196666666666666.7,243333333333333.34,280000000000000.0,290000000000000.0,330000000000000.0
b0008,8.889879634578453e+16,6.0960774070807336e+16,8.11525318188879e+16,7.031235759021692e+16,6.698462542777472e+16,2.2197850469029196e+16,5.272869055022227e+16,2.7076025384778736e+16,3.960285957475919e+16,5.060830782198603e+16,7.054025930614824e+16,5.039452200069599e+16,5.162381998806879e+16,3.54947577687465e+16,2.4189627277950932e+16,3.2987640165565596e+16,2.0913333333333336e+16,2.3563333333333336e+16,2.386e+16,2.4866666666666668e+16,2.5386666666666668e+16
b0009,4523088814275200.0,2571794254849867.0,3708239653234299.5,3497479737365599.5,2053438607242066.2,1777516522788299.8,3330614911918666.5,1854729156902500.0,2961647516472800.0,2588809934592467.0,4073442838443767.0,3441382490329600.5,2984274291191999.5,1737371237212099.5,1508274850563799.8,2296636548530399.5,646666666666666.8,570000000000000.0,553333333333333.4,433333333333333.4,400000000000000.0
b0014,1.1184748729042238e+17,8.432723151244838e+16,9.627139195540189e+16,8.945344924601307e+16,9.179572259019646e+16,4.675045415189309e+16,6.817978527029887e+16,3.216379278290253e+16,6.045215972807439e+16,5.368060921006519e+16,1.0121559621001584e+17,6.00902021006304e+16,6.72534322402848e+16,4.466308296572639e+16,4.476293945388613e+16,4.995446515021439e+16,2.6946666666666668e+16,2.374e+16,2.3253333333333336e+16,2.2453333333333336e+16,2.2533333333333336e+16
b0015,8774111403348265.0,7000384225497599.0,6517681775323999.0,7260168163730532.0,6257696421417700.0,3436675665795399.5,5880156404602134.0,2061194026413633.5,3917588737398400.0,3942314253514299.5,6667781833420733.0,4660803066884799.0,5287255661643200.0,2877251062391299.5,3135942071740866.5,4666686394849599.0,1590000000000000.0,1646666666666666.8,1626666666666666.8,1370000000000000.0,1230000000000000.0
b0023,9199694709678932.0,6832249734845734.0,7176091780990866.0,6221280067885866.0,6227059307124700.0,2280684045838099.5,3256093560038800.0,1494808070953133.2,2368623265640000.0,3852520496041366.0,4863945672982400.0,3505831092687199.5,3654303591246400.0,1888862179103200.0,2047464893737266.0,3602501352428799.5,3.6803333333333336e+16,4.043e+16,4.2383333333333336e+16,5.053e+16,5.6793333333333336e+16
b0025,486094151149866.56,274009694800800.06,483260439336200.0,393176548401466.6,48426523086566.664,54955414266200.0,47533700447999.99,66761473389333.336,86469851123200.0,316800055925766.7,271678938888000.0,309215311675199.94,137503798185600.0,,,,,,,,
b0026,3202943175330133.0,1735857942665466.8,2045523666646966.2,2653409915911999.5,1624759516728000.2,386225084234500.0,951336033022266.8,168943428876766.66,382326063966399.94,927177713644899.9,1957297867899433.8,1115248742632000.0,708927252037599.9,803263509534499.9,548709976255466.7,940304640391200.0,4996666666666667.0,5470000000000000.0,5240000000000000.0,4886666666666667.0,4456666666666667.0
b0028,1.0243185923066666e+16,8125424794823467.0,8996291841565132.0,7870744526808800.0,9394007506118568.0,3834804399294399.5,7008318982897266.0,3028294690136833.5,5161639045472800.0,5710481275175167.0,9422557568561734.0,7438994161152000.0,6541852974039200.0,4738598287728200.0,5438219628000134.0,7684693584235999.0,3100000000000000.0,4706666666666667.0,4976666666666667.0,4486666666666667.0,4180000000000000.0
