Unnamed: 0,acetate_heinmann,fumarate_heinmann,galactose_heinmann,glucose_heinmann,glucosamine_heinmann,glycerol_heinmann,pyruvate_heinmann,succinate_heinmann,anaerobic_heinmann,Chemostat_heinmann_035,Chemostat_heinmann_05,Chemostat_heinmann_02,Chemostat_heinmann_012,42Cdeg_henimann,pH6_heinmann,NaCl_50mM_heinmann,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
"('DM_4CRSOL', 'minimum')",6.466999999999999e-05,0.00010481,3.791e-05,0.0001338,8.697e-05,0.00010481,8.92e-05,8.92e-05,0.00012265,7.805e-05,0.0001115,4.46e-05,2.6759999999999998e-05,0.00014495,0.0001115,0.00014495,2.453e-05,4.683e-05,6.913e-05,8.92e-05,0.00010927
"('DM_4CRSOL', 'maximum')",6.474201797120914e-05,0.00010492298297039616,3.7954915085866893e-05,0.0001339421960279305,8.706496382875244e-05,0.0001049227455929599,8.929694860294754e-05,8.929712504095682e-05,0.00012278100383039244,7.813570716366483e-05,0.00011161959782603981,4.465181913543645e-05,2.6793749045322674e-05,0.00014510349250255108,0.00011161959782603981,0.00014510349250255108,2.4561489829510534e-05,4.6884077336727056e-05,6.920667420402377e-05,8.929700489083784e-05,0.00010938733863033612
"('DM_5DRIB', 'minimum')",6.466999999999999e-05,0.00010481,3.791e-05,0.000135,8.697e-05,0.00010481,8.92e-05,8.92e-05,0.00012375,7.805e-05,0.0001115,4.46e-05,2.6759999999999998e-05,0.00014625,0.0001115,0.00014625,2.453e-05,4.683e-05,6.913e-05,8.92e-05,0.00010927
"('DM_5DRIB', 'maximum')",0.0012116474577964608,0.002087536750452496,0.0007489631619405614,0.0024347467911846094,0.0016598319131288313,0.0019327000350026105,0.0016409755169096592,0.0017836794217297887,0.0022984074064329118,0.0014613799393936072,0.0020463697702964435,0.0008763901085137525,0.0005643955320582949,0.0026296087182068185,0.0020463697702964435,0.0026296087182068185,0.0005253962099934003,0.0009153894305659072,0.001305382651159675,0.0016563765496816925,0.0020073704482150897
"('DM_AACALD', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_AACALD', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_AMOB', 'minimum')",0.0,0.0,0.0,1.2e-06,0.0,0.0,0.0,0.0,1.1e-06,0.0,1e-06,0.0,0.0,1.3e-06,1e-06,1.3e-06,0.0,0.0,0.0,0.0,0.0
"('DM_AMOB', 'maximum')",5.80645897330044e-07,9.410132939975054e-07,3.4040282982797857e-07,1.201275106014391e-06,7.808517008221464e-07,9.410111722368262e-07,8.008694950688057e-07,8.00871077513804e-07,1.1011722597834288e-06,7.007687009684076e-07,1.0010726295898034e-06,4.0046446148352443e-07,2.4030262210894234e-07,1.3013764042218082e-06,1.0010726295898034e-06,1.3013764042218082e-06,2.2028229838468828e-07,4.2048503425512353e-07,6.206876616934481e-07,8.008699946986741e-07,9.810523676816933e-07
"('DM_MTHTHF', 'minimum')",0.0001293400000000229,0.00020962000000001658,7.581999999998031e-05,0.000268799999999906,0.00017394000000004253,0.00020962000000002146,0.00017840000000000217,0.0001784,0.0002463999999999071,0.00015609999999998333,0.00022300000000007383,8.920000000000943e-05,5.351999999998902e-05,0.0002911999999999311,0.00022300000000007383,0.0002911999999999311,4.906000000000663e-05,9.365999999999052e-05,0.00013825999999997574,0.00017840000000001886,0.00021854000000006197
"('DM_MTHTHF', 'maximum')",0.007062600928734219,0.010502241892981056,0.004399539853663899,0.014407997481117759,0.011195613128430445,0.011570907994509948,0.009164346605110464,0.009128115429822293,0.013282852047522086,0.008690246552316813,0.012131746685329722,0.005248746419418477,0.003413279681914531,0.015553657306535365,0.012131746685329722,0.015553657306535365,0.0031838463396892894,0.00547817976159509,0.007772513183497338,0.009837413263327334,0.011902313343070065
