,glc,glyc,ac,std
CSND,19.51726185771887,19.51726185771887,19.51726185771887,
LYXI,12.746884471796932,12.746884471796932,12.746884471796932,
G6PDH2r,-18.8870186299527,-15.75460495838332,-15.074203735613386,
PMDPHT,-30.899558227438234,-30.899558227438234,-30.899558227438234,
GTPDPDP,-41.693462958607,-41.693462958607,-41.693462958607,
PPKr,-19.990792933993582,-23.07578098932507,-20.568163307170547,
MALTptspp,-52.59261204668983,-57.51191254386032,-56.550395750319346,
EX_ppa_e,0.0,0.0,0.0,
ALLULPE,-3.8817987892475685,-3.8817987892475685,-3.8817987892475685,
NTD5,-27.413892314578476,-27.413892314578476,-27.413892314578476,
PTA2,31.185819513448912,34.15430413956561,33.64739614672165,
EX_xan_e,0.0,0.0,0.0,
NTD10,-28.834935973317357,-28.834935973317357,-28.834935973317357,
NTD11,-36.18102763687264,-36.18102763687264,-36.18102763687264,
NTD12,-32.03257922271197,-32.03257922271197,-32.03257922271197,
EX_23dappa_e,0.0,0.0,0.0,
PYK,-30.673559517651192,-32.50787195949019,-34.05397284810375,
NACODA,-25.62550037634574,-25.62550037634574,-25.62550037634574,
METAT,-135.14192794330745,-130.24877818088876,-129.24802039346108,
DDPA,-81.78382964196804,-86.70313013913852,-85.74161334559756,
UAGPT3,-21.347902237034603,-19.340730288421323,-18.007880480868856,
RBP4E,-0.49444228264223966,-0.49444228264223966,-0.49444228264223966,
DHPS2,-51.6251005593154,-51.6251005593154,-51.6251005593154,
P5CD,-38.82918136668117,-37.81791446977289,-39.39881376271488,
FACOAE60,-27.48559310803433,-24.517108481917635,-25.0240164747616,
2DGULRy,-20.41009693303766,-22.383108754071934,-22.49704268924538,
2DGULRx,-1.6145315020998385,-1.5366384612283266,-2.933197495728896,
GDPMNH,-22.111812758185504,-30.46647039683228,-31.136885502020245,
GLYOX3,-56.621354480237386,-56.621354480237386,-56.621354480237386,
ACACT4r,34.39369127999266,36.88739071212973,36.76691530531433,
DHAD1,-35.51559240288893,-35.51559240288893,-35.51559240288893,
GDPMNP,-42.90689711869621,-42.90689711869621,-42.90689711869621,
OCTDPS,-380.4955180570788,-380.4955180570788,-380.4955180570788,
PLIPA1E180pp,0.0,0.0,0.0,
EX_fe3_e,0.0,0.0,0.0,
KG6PDC,-25.939557555139146,-25.939557555139146,-25.939557555139146,
ATPM,-52.374228840457576,-55.45921689578907,-52.95159921363454,
METSOXR1,11.758188813957958,11.468501408367763,9.804344198642632,
EX_glyclt_e,0.0,0.0,0.0,
EX_dimp_e,0.0,0.0,0.0,
SPMS,14.901638189011834,14.901638189011834,14.901638189011834,
GLUTRR,0.0,0.0,0.0,
GLUTRS,0.0,0.0,0.0,
G1PACT,-11.403392427033197,-8.90969299489612,-9.030168401711524,
CBPS,-36.72577553075043,-36.24836931353319,-32.40496161426221,
HBZOPT,-88.92175941514039,-95.64392123244582,-93.20433006254044,
EX_hxa_e,0.0,0.0,0.0,
FACOAE141,-27.48634794274097,-24.517863316624272,-25.02477130946824,
FACOAE140,-27.485983706586815,-24.517499080470117,-25.024407073314084,
PAPA160,0.0,0.0,0.0,
G5SADs,8.483401038842942,8.483401038842942,8.483401038842942,
EX_pheme_e,0.0,0.0,0.0,
TRE6PP,-23.888611356582402,-23.888611356582402,-23.888611356582402,
TRE6PS,-42.07634023645301,-38.927498340848885,-36.61250570616335,
GLCRAL,4.981642887334317,4.981642887334317,4.981642887334317,
ACACT3r,34.395517640701605,36.889217072838676,36.768741666023274,
PAPA180,0.0,0.0,0.0,
PGPP120pp,0.0,0.0,0.0,
NNDMBRT,-24.979825798089678,-24.979825798089678,-24.979825798089678,
THDPS,25.11065075387173,23.566485729072873,26.29598144847641,
PANTS,-55.49797685588334,-56.7829119125236,-55.94158774051522,
FMETTRS,0.0,0.0,0.0,
E4PD,-57.21104774024876,-57.28894078112027,-55.8923817466197,
PLIPA2A180pp,0.0,0.0,0.0,
GLTPD,2.200759433402647,2.1228663925311366,3.5194254270317016,
OMPDC,-42.28833542659723,-42.28833542659723,-42.28833542659723,
EX_ppal_e,0.0,0.0,0.0,
EX_pydam_e,0.0,0.0,0.0,
TREHpp,-28.776035501690814,-28.776035501690814,-28.776035501690814,
PYAM5PO,-20.639936242669393,-20.639936242669393,-20.639936242669393,
EX_fum_e,0.0,0.0,0.0,
FRUptspp,-55.44708998795162,-60.36639048512211,-59.40487369158114,
FACOAE181,-27.486347942740515,-24.517863316623817,-25.024771309467784,
ACOAD1f,30.92824470277609,30.459867605005346,34.03857652133677,
ACLS,-29.10664718002556,-29.10664718002556,-29.10664718002556,
ULA4NFT,0.9946697722701288,0.9946697722701288,0.9946697722701288,
NTPP9,-30.002492339590304,-30.002492339590304,-30.002492339590304,
NTPP8,-73.09369595334088,-71.28190992510744,-69.99131112041371,
NTPP7,-78.85086670255613,-73.46264420648636,-74.05576763273217,
NTPP6,-65.7006646624778,-66.98559971911807,-66.14427554710969,
NTPP5,-63.56937466266909,-66.52019216814844,-67.25111208550207,
AP4AH,-26.24181951906489,-32.7580852772361,-31.57972259999591,
EX_urea_e,0.0,0.0,0.0,
NTPP2,-66.7484206731414,-65.27781866674579,-63.37897155864694,
DHPPDA2,25.590747336332043,25.590747336332043,25.590747336332043,
ACODA,-47.93034859828585,-53.426465903014964,-51.041573285026644,
S7PI,1.5204316455781282,1.5204316455781282,1.5204316455781282,
LALDO2x,-6.053125185501203,-5.975232144629693,-7.371791179130258,
QMO3,-88.60727137787126,-88.60727137787126,-88.60727137787126,
FCLPA,17.369908618757037,18.298259038469485,15.056243485770707,
SSALx,-32.52807531889629,-30.884258006282607,-30.010860478111155,
EX_etoh_e,0.0,0.0,0.0,
DKGLCNR2x,-13.794714374322199,-13.716821333450687,-15.113380367951256,
DKGLCNR2y,-32.590279805260025,-34.563291626294294,-34.677225561467736,
EX_glcn_e,0.0,0.0,0.0,
PUNP1,13.847805816322952,13.847805816322952,13.847805816322952,
2AGPEAT181,0.0,0.0,0.0,
EX_but_e,0.0,0.0,0.0,
EX_galur_e,0.0,0.0,0.0,
3HAD100,0.0,0.0,0.0,
HPPPNDO,-243.35827661138453,-243.35827661138453,-243.35827661138453,
EX_ser_L_e,0.0,0.0,0.0,
LACZ,-28.002366511936685,-28.002366511936685,-28.002366511936685,
CMPN,-20.240119210916465,-20.878923444594744,-21.86174901476363,
GPDDA5pp,-263.2203564366958,-255.74295492287894,-258.7579929285272,
LPLIPAL2E180,0.0,0.0,0.0,
EX_h_e,0.0,0.0,0.0,
DAPAL,7.147849451971297,7.147849451971297,7.147849451971297,
EX_pyr_e,0.0,0.0,0.0,
LPLIPAL2A161,0.0,0.0,0.0,
APRAUR,-33.3245508668398,-35.29756268787407,-35.41149662304751,
IPPS,-26.817474652812503,-24.32377522067543,-24.444250627490828,
MCITD,-0.7603703986779351,-0.7603703986779351,-0.7603703986779351,
LDH_D2,-60.31083938609697,-60.31083938609697,-60.31083938609697,
EAR140x,0.0,0.0,0.0,
GTPDPK,-47.46487068666215,-47.27920373690681,-44.53903245679956,
IG3PS,-42.54055297566292,-35.893170647782696,-37.06499831282078,
EX_nh4_e,0.0,0.0,0.0,
TREptspp,-59.15917700152645,-64.07847749869694,-63.11696070515597,
NTD10pp,-28.834935973317357,-28.834935973317357,-28.834935973317357,
3OAR120,0.0,0.0,0.0,
SULRi,-144.4321379531305,-150.3511734162333,-150.69297522175364,
UGLYCH,34.07725099230428,34.07725099230428,34.07725099230428,
SELCYSS,0.0,0.0,0.0,
5DGLCNR,-22.99424317366293,-24.967254994697207,-25.08118892987065,
MDH,0.015803996507575135,-1.8449406055129138,-0.36066881839993314,
ADSL2r,9.356923574961797,11.505446784779393,11.590015625885032,
UDCPDPS,-608.7928288913226,-608.7928288913226,-608.7928288913226,
DNMPPA,-31.624149001494885,-31.624149001494885,-31.624149001494885,
LSERDHr,16.080239743868976,15.696587768495593,17.25976868166001,
GMHEPK,-19.98077327015011,-23.0657613254816,-20.558143643327075,
PSSA181,0.0,0.0,0.0,
MICITDr,0.7600952087727251,0.7600952087727251,0.7600952087727251,
ACONIs,10.576245598414241,14.997537159757755,14.297652635678006,
NTD1pp,-29.332512546243862,-29.332512546243862,-29.332512546243862,
EX_cu_e,0.0,0.0,0.0,
ACHBS,-18.7490093780479,-18.7490093780479,-18.7490093780479,
TYRTRS,0.0,0.0,0.0,
GART,-8.81989341620857,-11.904881471540062,-9.397263789385537,
DRPA,-11.015463654508068,-11.015463654508068,-11.015463654508068,
CYSDDS,-80.03550120240291,-80.03550120240291,-80.03550120240291,
EX_aso3_e,0.0,0.0,0.0,
EX_hxan_e,0.0,0.0,0.0,
EX_nmn_e,0.0,0.0,0.0,
NTD4,-44.31975460749863,-44.31975460749863,-44.31975460749863,
NMNN,-26.066184242839284,-26.704988476517563,-27.68781404668645,
DHCIND,-38.57695413451401,-38.65484717538552,-37.25828814088495,
CPPPGO2,-17.990332535742837,-27.43034241307201,-25.594985300858525,
EAR160x,0.0,0.0,0.0,
EAR160y,0.0,0.0,0.0,
METOX1s,4.72030489392398,5.009992299514172,6.674149509239307,
CYTDK2,-3.373740065459775,-10.25779569771094,-9.029363694800052,
PPK2r,-20.862116756824626,-23.947104812156116,-21.43948713000159,
TARTD,-35.27636828168818,-35.27636828168818,-35.27636828168818,
G1PTT,-20.641193866858302,-15.25297137078853,-15.846094797034329,
ALATRS,0.0,0.0,0.0,
EX_metsox_S_L_e,0.0,0.0,0.0,
PERD,8.73981641409013,8.661923373218618,10.058482407719188,
GGGABAH,-5.184434233164804,-4.095274295385012,-7.072732622827575,
LPLIPAL1A160pp,0.0,0.0,0.0,
GTHRDHpp,-16.18685760190916,-15.242629415953198,-16.25727632937598,
RPI,-15.778038558020224,-15.139234324341945,-14.15640875417306,
EX_asn_L_e,0.0,0.0,0.0,
ABTA,19.67244777687734,19.944790763624688,17.767427435100167,
UDCPDPpp,-46.72420424175735,-46.72420424175735,-46.72420424175735,
IPDPS,-49.57851746938586,-49.50062442851435,-50.89718346301492,
GND,-16.700803951012983,-15.376331647302244,-14.070727102410324,
EX_cd2_e,0.0,0.0,0.0,
PMANM,-4.3200066593543625,-4.3200066593543625,-4.3200066593543625,
NNATr,-43.36482022050096,-43.19167539674685,-41.27323905321242,
ACMANAptspp,-52.89135541533776,-57.81065591250825,-56.84913911896728,
TMPPP,-4.692498230935428,-4.692498230935428,-4.692498230935428,
EX_malt_e,0.0,0.0,0.0,
GSNK,-23.206059543147926,-26.291047598479416,-23.78342991632489,
EAR180y,0.0,0.0,0.0,
HMBS,-65.12840419561476,-65.12840419561476,-65.12840419561476,
GTPCI,-133.76233975987972,-132.2917377534841,-130.39289064538525,
NTP1,-52.374228840457576,-55.45921689578907,-52.95159921363454,
EX_gdp_e,0.0,0.0,0.0,
PPBNGS,-93.78688834196564,-93.78688834196564,-93.78688834196564,
MLTG1,-30.02701337826798,-30.02701337826798,-30.02701337826798,
EX_gthox_e,0.0,0.0,0.0,
EX_galctn_L_e,0.0,0.0,0.0,
UAMAGS,-37.02690947610802,-40.11189753143951,-37.60427984928498,
FCLT,0.0,0.0,0.0,
ASPK,-9.036274638246766,-14.07316759044054,-10.982529490673887,
ASPT,-28.99658705833344,-28.799968745378123,-28.13237948666035,
PTAr,28.636616703880623,31.08356707929033,31.94397324372101,
FCLK,-27.55681938602669,-30.64180744135818,-28.134189759203654,
RBFSa,-84.3198827180774,-84.3198827180774,-84.3198827180774,
EX_tartr_L_e,0.0,0.0,0.0,
IPPMIa,-3.210368331948729,-3.210368331948729,-3.210368331948729,
EX_na1_e,0.0,0.0,0.0,
DHFS,-52.464337322089655,-56.63848531520093,-51.153409305603844,
FCI,5.474931796544524,5.474931796544524,5.474931796544524,
CYSTRS,0.0,0.0,0.0,
MLTG2,-30.50395360192229,-30.50395360192229,-30.50395360192229,
PGAMT,14.20664427379294,11.449979980715012,11.006108282503332,
EX_12ppd_R_e,0.0,0.0,0.0,
HISTRS,0.0,0.0,0.0,
GTPCII2,-126.78813919860954,-125.31753719221393,-123.41869008411507,
TMAOR1pp,-195.3379942554332,-195.3379942554332,-195.3379942554332,
DM_OXAM,0.0,0.0,0.0,
ALCD2x,9.762504854190881,9.684611813319371,11.081170847819937,
EX_g3pc_e,0.0,0.0,0.0,
RNDR3b,0.0,0.0,0.0,
DKGLCNR1,-39.686247830133084,-41.65925965116735,-41.773193586340795,
DHDPS,-100.7095188874998,-100.7095188874998,-100.7095188874998,
UAPGR,-67.62337574222141,-69.59638756325569,-69.71032149842912,
METTRS,0.0,0.0,0.0,
LPLIPAL2E161,0.0,0.0,0.0,
UDCPDP,-46.72420424175735,-46.72420424175735,-46.72420424175735,
HCYSMT,6.948995497056377,2.2289905583917884,3.1466691144985326,
NTP10,-54.36549473239352,-54.36549473239352,-54.36549473239352,
NTP11,-47.93638783561326,-47.93638783561326,-47.93638783561326,
ALATA_D2,1.9678962490673086,1.9678962490673086,1.9678962490673086,
TRPS1,-34.89264052816948,-39.487422603389334,-42.123361305726746,
EX_feenter_e,0.0,0.0,0.0,
DHAD2,-35.515538643027384,-35.515538643027384,-35.515538643027384,
ADPT,-18.83808866486438,-19.00155502487478,-18.88222916843249,
MMM,-5.93399109576808,-10.44664074668363,-7.210237034436128,
PGLYCP,-45.92995357080119,-45.92995357080119,-45.92995357080119,
EDA,-0.9919409475715213,-0.9919409475715213,-0.9919409475715213,
PDX5PS,-257.53248055737856,-257.6103735982501,-256.2138145637495,
EDD,-63.490845321854785,-64.13938483917832,-62.94771422945985,
PPGPPDP,-24.23582569016848,-32.59048332881525,-33.260898434003224,
EX_g3pg_e,0.0,0.0,0.0,
SOTA,11.868699122515558,12.141042109262903,9.963678780738386,
EX_gly_e,0.0,0.0,0.0,
PSD120,0.0,0.0,0.0,
EX_xyl_D_e,0.0,0.0,0.0,
GTHOr,-11.337452641120393,-15.8112837890696,-16.20761595286484,
FRUK,-0.8903427638011827,-6.341101814906626,-3.8334841327520994,
FADRx2,-32.89724158412356,-35.33863050292858,-31.873855521770604,
MEPCT,-23.412334792266154,-21.757703041294338,-21.270328403447515,
GLUDy,-72.42883764177849,-70.72816880749156,-68.43687154379359,
EX_g3pe_e,0.0,0.0,0.0,
EX_orn_e,0.0,0.0,0.0,
PLIPA1A180pp,0.0,0.0,0.0,
HACD8,-8.506733740956877,-8.428840700085367,-9.825399734585933,
3OAS180,0.0,0.0,0.0,
EX_asp_L_e,0.0,0.0,0.0,
EX_lys_L_e,0.0,0.0,0.0,
ACOAD5f,37.25029143510883,36.78191433733808,40.36062325366951,
EAR80y,0.0,0.0,0.0,
PRPPS,-16.93261680447557,-18.873361147821544,-18.2456494336126,
3OAS140,0.0,0.0,0.0,
SHCHF,0.0,0.0,0.0,
EAR180x,0.0,0.0,0.0,
DPR,-26.483745091104534,-28.456756912138808,-28.570690847312253,
DHFR,-32.681810738226545,-34.654822559260815,-34.76875649443426,
EX_tre_e,0.0,0.0,0.0,
EX_cbi_e,0.0,0.0,0.0,
ARGDC,-45.249573642391745,-45.249573642391745,-45.249573642391745,
CAT,-175.9494991667804,-175.9494991667804,-175.9494991667804,
FA160ACPHi,0.0,0.0,0.0,
AMALT1,-1.1683730254165994,-1.1683730254165994,-1.1683730254165994,
HEX1,-4.0385516027363995,-8.282941508602997,-6.3417911140449625,
FTHFD,-41.834089336722315,-41.834089336722315,-41.834089336722315,
DAGK141,0.0,0.0,0.0,
DAGK140,0.0,0.0,0.0,
NTP5,-64.40838167826554,-62.753749927293725,-62.266375289446906,
EX_spmd_e,0.0,0.0,0.0,
