14GLUCANtexi,b4036
23PDE2pp,b4213
23PDE4pp,b4213
23PDE7pp,b4213
23PDE9pp,b4213
2AGPA120tipp,b2835
2AGPA140tipp,b2835
2AGPA141tipp,b2835
2AGPA160tipp,b2835
2AGPA161tipp,b2835
2AGPA180tipp,b2835
2AGPA181tipp,b2835
2AGPE120tipp,b2835
2AGPE140tipp,b2835
2AGPE141tipp,b2835
2AGPE160tipp,b2835
2AGPE161tipp,b2835
2AGPE180tipp,b2835
2AGPE181tipp,b2835
2AGPEAT120,b2836
2AGPEAT140,b2836
2AGPEAT141,b2836
2AGPEAT160,b2836
2AGPEAT161,b2836
2AGPEAT180,b2836
2AGPEAT181,b2836
2AGPG120tipp,b2835
2AGPG140tipp,b2835
2AGPG141tipp,b2835
2AGPG160tipp,b2835
2AGPG161tipp,b2835
2AGPG180tipp,b2835
2AGPG181tipp,b2835
2AGPGAT120,b2836
2AGPGAT140,b2836
2AGPGAT141,b2836
2AGPGAT160,b2836
2AGPGAT161,b2836
2AGPGAT180,b2836
2AGPGAT181,b2836
2DGULRGx,b3553
2DGULRGy,b3553
2DGULRx,b3553
2DGULRy,b3553
3AMACHYD,b1009
3HCINNMH,b0347
3HPPPNH,b0347
3KGK,b3580
3NTD2pp,b4213
3NTD4pp,b4213
3NTD7pp,b4213
3NTD9pp,b4213
3OAR100,b1093
3OAR120,b1093
3OAR121,b1093
3OAR140,b1093
3OAR141,b1093
3OAR160,b1093
3OAR161,b1093
3OAR180,b1093
3OAR181,b1093
3OAR40,b1093
3OAR60,b1093
3OAR80,b1093
3OAS121,b2323
3OAS141,b2323
3OAS161,b2323
3OAS181,b1095
3OXCOAT,b1397
42A12BOOXpp,b1386
4HTHRS,b0004
4PCP,b1192
5DGLCNR,b4266
5DGLCNt2rpp,b4265
5DOAN,b0159
AADDGT,b4481
AAMYL,b1927
AAMYLpp,b3571
AB6PGH,b2901
ABUTD,b1444
ABUTt2pp,b2663
ACACt2pp,b2223
ACALDtpp,s0001
ACANTHAT,b1463
ACBIPGT,b1993
ACCOAL,b4069
ACGAMK,b1119
ACGAMT,b3784
ACGK,b3959
ACGS,b2818
ACM6PH,b2428
ACMAMUT,b3794
ACNAMt2pp,b3224
ACNML,b3225
ACOAD1f,b0221
ACOAD2f,b0221
ACOAD3f,b0221
ACOAD4f,b0221
ACOAD5f,b0221
ACOAD6f,b0221
ACOAD7f,b0221
ACOAD8f,b0221
ACODA,b3957
ACONIs,s0001
ACONMT,b1519
ACS,b4069
ACt4pp,b4067
ADA,b1623
ADCL,b1096
ADD,b3665
ADK1,b0474
ADK3,b0474
ADK4,b0474
ADMDC,b0120
ADNCYC,b3806
ADNK1,b0474
ADNUC,b0030
ADNt2rpp,b2406
ADNtex,b0411
ADOCBIK,b1993
ADOCBLS,b1992
ADPT,b0469
ADSK,b2750
ADSL1r,b1131
ADSL2r,b1131
ADSS,b4177
AGDC,b0677
AGM3PA,b0110
AGM3PH,b1107
AGM3Pt2pp,b0433
AGM4PA,b0110
AGM4PCP,b1192
AGM4PH,b1107
AGM4Pt2pp,b0433
AGMH,b1107
AGMHE,b3619
AGMT,b2937
