,glc,ac,glyc
P5CR,0.0+/-0,0.0+/-0,0.0+/-0
PANTS,0.0+/-0,0.0+/-0,0.0+/-0
ADSL2r,0.0+/-0,0.0+/-0,0.0+/-0
UAGPT3,0.0+/-0,0.0+/-0,0.0+/-0
GART,0.0+/-0,0.0+/-0,0.0+/-0
ASPO6,0.0+/-0,0.0+/-0,0.0+/-0
MOHMT,0.0+/-0,0.0+/-0,0.0+/-0
DHDPS,0.0+/-0,0.0+/-0,0.0+/-0
PRPPS,0.0+/-0,0.0+/-0,0.0+/-0
SDPDS,0.0+/-0,0.0+/-0,0.0+/-0
GLUPRT,0.0+/-0,0.0+/-0,0.0+/-0
DHNPA2r,0.0+/-0,0.0+/-0,0.0+/-0
KDOPP,0.0+/-0,0.0+/-0,0.0+/-0
DHORD2,0.0+/-0,0.0+/-0,0.0+/-0
GMPS2,0.0+/-0,0.0+/-0,0.0+/-0
PRFGS,0.0+/-0,0.0+/-0,0.0+/-0
PSCVT,0.0+/-0,0.0+/-0,0.0+/-0
ADNK1,0.0+/-0,0.0+/-0,0.0+/-0
DXPS,0.0+/-0,0.0+/-0,0.0+/-0
DBTS,0.0+/-0,0.0+/-0,0.0+/-0
UPP3S,0.0+/-0,0.0+/-0,0.0+/-0
GLUR_reverse,0.983+/-0.005,0.964+/-0.009,0.9890+/-0.0030
PSP_L,0.0+/-0,0.0+/-0,0.0+/-0
IGPS,0.0+/-0,0.0+/-0,0.0+/-0
AMAOTr,0.0+/-0,0.0+/-0,0.0+/-0
HPPK2,0.0+/-0,0.0+/-0,0.0+/-0
DTMPK,0.0+/-0,0.0+/-0,0.0+/-0
UPPDC1,0.0+/-0,0.0+/-0,0.0+/-0
DHQTi,0.0+/-0,0.0+/-0,0.0+/-0
PERD,0.0+/-0,0.0+/-0,0.0+/-0
RBFSb,0.0+/-0,0.0+/-0,0.0+/-0
RBFSa,0.0+/-0,0.0+/-0,0.0+/-0
THRS,0.0+/-0,0.0+/-0,0.0+/-0
QULNS,0.0+/-0,0.0+/-0,0.0+/-0
ASNS2,0.0+/-0,0.0+/-0,0.0+/-0
PE160abcpp,0.0+/-0,0.0+/-0,0.0+/-0
PPND,0.0+/-0,0.0+/-0,0.0+/-0
DMPPS,0.0+/-0,0.0+/-0,0.0+/-0
UAGCVT,0.998+/-0.004,0.9983+/-0.0030,0.9993+/-0.0012
CTPS2,0.0+/-0,0.0+/-0,0.0+/-0
CS,0.0+/-0,0.0+/-0,0.0+/-0
TMPK,0.0+/-0,0.0+/-0,0.0+/-0
ACOAD5f_reverse,0.0+/-0,0.0+/-0,0.0+/-0
RBFK,0.0+/-0,0.0+/-0,0.0+/-0
OPHHX,0.0+/-0,0.0+/-0,0.0+/-0
GLUDy_reverse,0.0+/-0,0.0+/-0,0.0+/-0
METS,0.0+/-0,0.0+/-0,0.0+/-0
PAPPT3,0.0+/-0,0.0+/-0,0.0+/-0
UAGDP,0.999549507771+/-0,nan+/-0,nan+/-0
PDX5POi,0.0+/-0,0.0+/-0,0.0+/-0
METAT,0.0+/-0,0.0+/-0,0.0+/-0
RHCCE,0.0+/-0,0.0+/-0,0.0+/-0
ADSL1r,0.0+/-0,0.0+/-0,0.0+/-0
G6PDH2r,0.0+/-0,0.0+/-0,0.0+/-0
GLU5K,0.0+/-0,0.0+/-0,0.0+/-0
AMPMS2,0.0+/-0,0.0+/-0,0.0+/-0
ACOAD2f_reverse,0.0+/-0,0.0+/-0,0.0+/-0
NNATr,0.0+/-0,0.0+/-0,0.0+/-0
PE161abcpp,0.0+/-0,0.0+/-0,0.0+/-0
PPBNGS,0.0+/-0,0.0+/-0,0.0+/-0
TMPPP,0.0+/-0,0.0+/-0,0.0+/-0
ADK1,0.0+/-0,0.0+/-0,0.0+/-0
UAAGDS,0.0+/-0,0.0+/-0,0.0+/-0
IPMD,0.0+/-0,0.0+/-0,0.0+/-0
DHDPRy,0.0+/-0,0.0+/-0,0.0+/-0
ASAD_reverse,0.0+/-0,0.0+/-0,0.0+/-0
PGCD,0.0+/-0,0.0+/-0,0.0+/-0
CYTK1,0.999616508032+/-0,nan+/-0,nan+/-0
AGPAT160,0.0+/-0,0.0+/-0,0.0+/-0
AGPAT161,0.0+/-0,0.0+/-0,0.0+/-0
KDOPS,0.0+/-0,0.0+/-0,0.0+/-0
ENO,0.0+/-0,0.0+/-0,0.0+/-0
G1SAT,0.0+/-0,0.0+/-0,0.0+/-0
G5SD,0.0+/-0,0.0+/-0,0.0+/-0
PUNP1_reverse,0.0+/-0,0.0+/-0,0.0+/-0
OHPBAT,0.0+/-0,0.0+/-0,0.0+/-0
ASPTA_reverse,0.0+/-0,0.0+/-0,0.0+/-0
SDPTA_reverse,0.0+/-0,0.0+/-0,0.0+/-0
FACOAE120,0.0+/-0,0.0+/-0,0.0+/-0
UDCPDPS,0.0+/-0,0.0+/-0,0.0+/-0
