bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035
b3987,3028.4153625901,2518.5955577762,2339.6754971465,2568.3550797806,1258.8359253355,418.14524676,1157.6304174192,707.7293370824,838.5576896754,1510.0317319919,2030.7395114893,1376.2433945758,1409.4184696327,1025.9390491531,514.0665591572,744.5989523843
b0114,4937.6427611834,4870.1029058921,5097.4427296602,4575.1665087684,1748.3818321228,882.2989523378,1975.3776771038,1348.176368537,1390.1688419325,2648.0750555156,5898.090168982,2943.6569115283,3141.0655188656,5128.9130315335,998.411847625,1244.2846361207
b0118,4637.2380780967,4260.5722956336,4225.5196770709,3835.519748919,2522.0315791681,2812.5594991444,5137.3554857834,3527.1817058616,6381.7632610249,3925.9152970561,4364.8357333417,6069.3129855525,6957.8369306147,5085.8700146528,3635.3051069517,4596.9696331992
b4143,14847.8319820053,13057.323430086,14133.4132993556,14647.1627852806,17014.3516340329,9989.2097221144,14120.3527618222,9166.1212287836,13800.3329052896,12770.8525051081,15062.7100821514,14339.4257416016,14968.5816792029,11011.8218690052,10445.2805556891,12543.0579899895
b0014,10485.7019334771,9035.0605191909,9316.5863182647,9584.2981335014,9496.1092334686,6678.6363074133,7866.8983004191,5078.4935973004,7556.5199660093,7001.8185926172,10470.5789182775,7511.2752625788,8406.6790300356,6380.4404236752,6104.0371982572,6244.3081437768
b3774,15922.1972435762,13141.180260547,12037.7084415507,13704.1262833613,8381.9139501128,2779.4689494446,8212.0735273307,4299.9646992974,7246.3628095774,10411.0459827007,10078.371139775,7778.1240294304,8726.2674282041,5248.2888819489,3418.2434508911,5227.0511907219
b3544,6461.3325700314,6062.5167668045,8155.639753236,6431.2432513383,9413.6683872749,18173.2234854486,11362.8710504594,8967.1553530623,11763.5727454147,9070.7894932048,8229.853057487,10671.61644386,9950.2362065023,9816.3414077158,17225.7094163521,12752.93979173
b3988,713.0396591993,590.5902561291,474.3706568609,537.9351603823,208.4092385425,72.5987038581,182.6324724931,88.9385864916,123.0190116592,251.8754255035,393.8910574899,258.5910364653,243.279514205,142.2617487146,85.7024899556,143.5731980897
b3829,14994.3984331717,13172.9917439507,6806.3361015113,9772.8065515203,5711.9986115494,756.0691234515,3740.4535450527,1836.0739694943,2100.5509761417,4930.009923303,7944.0681577824,5426.7928683985,5543.8683045882,2110.3611659113,1033.9204130828,1780.5044646438
b0033,2219.4033119471,1922.3459316787,1294.9156640132,1547.446152415,552.5532508934,123.4694102156,548.3471833547,237.0967930942,292.6520248741,692.9129518294,1194.2012520846,602.3897969823,795.5404581732,508.0568484708,161.0549665238,299.5830189678
b1241,3406.939331165,3292.1766654529,2585.1702737045,2892.0783460492,2185.4424392331,608.7996303586,1426.275237354,1133.3963298607,1031.7664398266,1845.8770866266,1938.0565668485,1182.8281032926,1131.6634207611,938.1199777565,605.07422061,774.2889449507
b0911,16452.2360248195,14168.7565161657,15855.8163239289,13113.1842267475,14878.5678678016,5378.6901747139,11119.3165922151,7361.9277041245,8933.7956526384,9908.5260215192,13595.8274253677,10638.8111880677,10557.0211108743,7760.3082849599,5716.2016400594,7277.7812110972
