bnumber,vilu_011,vilu_021,vilu_031,vilu_04,vilu_049
b0002,1284,1682,2003,3024,3017
b0003,154,200,239,380,389
b0004,3233,4050,3877,4935,5555
b0005,,,,,
b0006,59,73,84,87,99
b0007,,,,,
b0008,6274,7069,7158,7460,7616
b0009,194,171,166,130,120
b0010,,,,,
b0011,,,,,
b0013,,,,,
b0014,8084,7122,6976,6736,6760
b0015,477,494,488,411,369
b0018,,,,,
b0019,,,,,
b0020,,,,,
b0023,11041,12129,12715,15159,17038
b0024,,,,,
b0025,,,,,
b0026,1499,1641,1572,1466,1337
b0027,,,,,
b0028,930,1412,1493,1346,1254
b0029,173,193,193,189,186
b0030,250,261,187,100,34
b0031,593,672,659,643,1096
b0032,972,1113,1490,2598,2259
b0033,877,1195,1461,1899,2072
b0034,,,,,
b0035,,,,,
b0036,,,,,
b0037,,,,,
b0038,,,,,
b0039,,,,,
b0040,,,,,
b0041,,,,,
b0042,,,,,
b0043,,,,,
b0044,,,,,
b0045,,,,,
b0046,,,,,
b0047,,,,,
b0048,396,425,315,271,241
b0049,95,91,81,71,70
b0050,,,,,
b0051,240,233,235,218,324
b0052,,,,,
b0053,2014,1792,1524,1359,1437
b0054,79,66,62,54,32
b0055,,,,,
b0058,,,,,
b0059,94,82,98,98,111
b0060,,,,,
b0061,,,,,
b0062,88,,,,
b0063,,,,,
b0065,,,,,
b0066,,,,,
b0067,,,,,
b0068,636,701,817,881,1017
b0069,,,,,
b0070,,,,,
b0071,7493,10272,8117,6966,6691
b0072,4507,5489,4818,3811,3413
b0073,3976,5572,4819,3498,3246
b0074,5037,6044,4497,3297,2573
b0075,,,,,
b0076,,,,,
b0077,793,942,782,709,741
b0078,1032,951,948,851,997
b0080,413,429,330,233,176
b0081,,,,,
b0082,203,241,162,157,172
b0083,,,,,
b0084,,,,,
b0085,91,151,109,118,144
b0086,129,122,123,145,155
b0087,,,,,
b0088,96,87,74,99,78
b0089,,,,,
b0090,,,,,
b0091,103,109,122,128,144
b0092,102,107,103,106,124
b0093,,,,,
b0094,371,387,408,307,338
b0095,2449,2367,2217,2094,2128
b0096,,,,,
b0097,,,,,
b0098,740,744,685,619,640
b0099,,,,,
b0101,,,,,
b0102,178,178,145,143,155
b0103,,,,,
b0104,281,296,430,679,548
b0106,,,,,
b0107,,,,,
b0108,,,,,
b0109,397,400,356,304,318
b0110,,,,,
b0111,,,,,
b0112,386,471,531,453,406
b0113,114,110,141,146,182
b0114,5860,6655,6012,5862,5980
b0115,3521,3463,3378,3140,3830
