Growth condition,carbon source,growth mode,uptake rate [mmol/gCDW/h],growth rate (h-1),Stdev,Single cell volume [fl],source
Chemostat u=0.11,glc,chemostat,,0.11,0,2.1,valgepea
Chemostat u=0.12,glc,chemostat,,0.12,0,1.9,heinmann
Chemostat u=0.20,glc,chemostat,,0.2,0,2.08,heinmann
Chemostat u=0.21 (1),glc,chemostat,2.66,0.21,0,,peebo
Chemostat u=0.21,glc,chemostat,,0.21,0,2.2,valgepea
Chemostat u=0.22,glc,chemostat,3.81,0.22,0,,peebo
Galactose ,gal,batch,,0.26,0.26,2.21,heinmann
Chemostat u=0.26,glc,chemostat,4.91,0.26,0,,peebo
Acetate,ac,batch,,0.3,0.04,2.3,heinmann
Chemostat u=0.31 (1),glc,chemostat,2.78,0.31,0,,peebo
Chemostat u=0.31,glc,chemostat,,0.31,0,2.3,valgepea
Chemostat u=0.35,glc,chemostat,,0.35,0,2.4,heinmann
Chemostat u=0.36,glc,chemostat,3.25,0.36,0,,peebo
Pyruvate,pyr,batch,,0.4,0.01,2.5,heinmann
Chemostat u=0.4,glc,chemostat,,0.4,0,2.6,valgepea
Chemostat u=0.41,glc,chemostat,4.36,0.41,0,,peebo
Fumarate,fum,batch,,0.42,0.02,2.54,heinmann
Succinate,succ,batch,,0.44,0,2.58,heinmann
Glucosamine,gam,batch,,0.46,0.02,2.62,heinmann
Chemostat u=0.46,glc,chemostat,5.52,0.46,0,,peebo
Glycerol,glyc,batch,,0.47,0.01,2.64,heinmann
Mannose,man,batch,,0.47,0.01,2.64,heinmann
Chemostat u=0.49,glc,chemostat,,0.49,0,2.5,valgepea
Chemostat u=0.5,glc,chemostat,,0.5,0,2.69,heinmann
Chemostat u=0.51,glc,chemostat,6.24,0.51,0,,peebo
Xylose,xyl_D,batch,,0.55,0.01,2.79,heinmann
Glucose + salts,glc,batch,,0.55,0.01,2.79,heinmann
Glucose,glc,batch,,0.58,0.01,2.84,heinmann
pH6 glucose,glc,batch,,0.63,0,2.93,heinmann
Fructose,fru,batch,,0.65,0,2.96,heinmann
42C glucose,glc,batch,,0.66,0.02,2.98,heinmann
