reactions,bnumber,gene,MW of subunit (KDa),subunits,Catalytic Sites,kcat [1/s],kcat per subunit
SERAT,b3607,cysE,29.3163044,6,3,771.9960159,385.9980079
QULNS,b0750,nadA,38.2403907,2,2,0.382403907,0.382403907
G3PD2_reverse,b3608,gpsA,36.3611934,2,2,42.4213923,42.4213923
UPP3S,b3804,hemD,27.7976068,1,1,11.58233617,11.58233617
DBTS,b0778,bioD1,24.1392951,2,2,0.001005804,0.001005804
TMDS,b2827,thyA,30.4793304,2,2,0.736583818,0.736583818
RBFSb,b1662,ribC,23.4446333,3,3,0.0082056217,0.0082056217
U23GAAT,b0179,lpxD,36.0381064,3,3,9.069590111,9.069590111
AIRC3_reverse,b0523,purE,17.7801078,8,4,7.028957241,3.51447862
PGCD,b2913,serA,44.1752478,4,1,27.30030314,6.825075785
PPBNGS,b0369,hemB,35.6244192,8,4,0.653114352,0.326557176
PSCVT,b0908,aroA,46.095263,1,1,32,32
BTS5,b0775,bioB,38.6476888,2,2,0.0038611111,0.0038611111
KDOCT2,b0918,kdsB,27.6141142,1,1,21.9,21.9
NADK,b2615,ppnK,32.5659952,6,3,13.95995661,6.979978305
MEPCT,b2747,ispD,25.7369594,2,2,9.865834437,9.865834437
CTPS2,b2780,pyrG,60.3734411,4,4,6.1,6.1
NNDPR,b0109,nadC,32.7616613,2,1,0.5897099034,0.2948549517
ADSS,b4177,purA,47.3443824,2,2,1.59,1.59
GARFT,b2500,purN,23.2379959,1,1,20.70029423,20.70029423
KDOPS,b1215,kdsA,30.8323438,4,4,5.308,5.308
CHRPL,b4039,ubiC,18.776687,1,1,1.7,1.7
DHQTi,b1693,aroD,27.4663389,2,2,74.61688735,74.61688735
DHORTS_reverse,b1062,pyrC,38.8269433,2,2,181.1,181.1
P5CR,b0386,proC,28.1445888,10,10,716.7488614,716.7488614
G6PDH2r,b1852,zwf,55.7037783,1,1,174,174
RHCCE,b2687,luxS,19.4159916,1,1,0.4,0.4
HSST,b4013,metA,35.7268399,2,2,24,24
CHORS,b2329,aroC,39.1369935,4,4,20.93829152,20.93829152
HMBS,b3805,hemC,33.8514377,1,1,0.1049958759,0.1049958759
ICDHyr,b1136,icd,45.7561841,2,2,106.3,106.3
UAAGDS,b0085,murE,53.3429912,1,1,1.102421818,1.102421818
HISTD,b2020,hisD,46.109799,2,2,11.77336868,11.77336868
UAPGR,b3972,murB,37.8505691,1,1,19.8084645,19.8084645
ENO,b2779,eno,45.6544073,2,1,395.6715299,197.835765
ADSK,b2750,cysC,22.3210375,2,2,56.91864563,56.91864563
ASP1DC,b0131,panD,13.8335769,1,1,0.5699894802,0.5699894802
BPNT,b4214,cysQ,27.1755416,1,1,11.39968678,11.39968678
CS,b0720,gltA,48.0144729,6,3,80.9988153,40.49940765
DHQS,b3389,aroB,38.8805391,1,1,15.99934184,15.99934184
DXPRIi,b0173,dxr,43.3875375,2,1,38,19
DXPS,b0420,dxs,67.6161566,2,2,153.6,153.6
HSK,b0003,thrB,33.6232905,2,2,18.3,18.3
MECDPS,b2746,ispF,16.8973394,3,3,2.7,2.7
METAT,b2942,metK,41.951132,4,2,1.5,0.75
OCTDPS,b3187,ispB,35.2165802,2,2,2,2
OMPDC,b1281,pyrF,26.3499521,2,2,28,28
PANTS,b0133,panC,31.597307,2,1,2.159149312,1.079574656
PGAMT_reverse,b3176,glmM,47.5430352,1,1,7.9238392,7.9238392
SHSL1,b3939,metB,41.5498972,4,2,121,60.5
UAGCVT,b3189,murA,44.8171296,1,1,3.8,3.8
UDCPDPS,b0174,ispU,28.4437984,2,2,2.5,2.5
UGMDDS,b0086,murF,47.4465803,1,1,10.9917911,10.9917911
PRASCSi,b2476,purC,26.9946927,3,3,12.9574525,12.9574525
GLUR_reverse,b3967,murI,31.0015805,1,1,12.16,12.16
DHFS,b2315,folC,45.4051343,1,1,0.4048624475,0.4048624475
GMPS2,b2507,guaA,58.6785323,2,2,8.889797643,8.889797643
MDH,b3236,mdh,32.3368967,2,2,1034.780694,1034.780694
AIRC2,b0522,purK,39.4606393,2,1,13.15354643,6.576773217
NADS1,b1740,nadE,30.6364576,2,2,3.523192624,3.523192624
DHDPS,b2478,dapA,31.2696246,4,2,113.1960411,56.59802053
DAPE,b3809,dapF,30.2082312,2,2,84,84
GLUTRS,b2400,gltX,53.8151,1,1,2.916666667,2.916666667
GLUTRR,b1210,hemA,46.3062721,2,2,0.3627324648,0.3627324648
PRFGS,b2557,purL,141.4010628,1,1,5.066871417,5.066871417
GND,b2029,gnd,51.4806506,2,1,54.91269397,27.45634699
GTPCI,b2153,folE,24.8303397,10,5,0.0753186971,0.0376593486
GLU5K,b0242,proB,39.0560532,4,2,53.37660604,26.68830302
KDOPP,b3198,kdsC,19.9968805,4,4,5.19918893,5.19918893
UHGADA,b0096,lpxC,33.9555271,1,1,3.3,3.3
GTPCII2,b1277,ribA,21.8357247,2,2,0.064,0.064
PGI,b4025,pgi,61.5290037,2,2,125.6217159,125.6217159
MOHMT,b0134,panB,28.2371171,10,5,6.871031828,3.435515914
THDPS,b0166,dapD,29.8917343,2,1,35.87008116,17.93504058
MTHFR2,b3941,metF,33.1023431,4,2,10.4,5.2
PTPATi,b3634,coaD,17.8364355,6,2,8.115578153,2.705192718
HPPK2,b0142,folK,18.0785667,1,1,0.6327498345,0.6327498345
AMAOTr,b0774,bioA,47.3351148,2,2,0.2833333333,0.2833333333
3OAR140,b1093,fabG,25.5600137,4,4,1.341900719,1.341900719
ACGS,b2818,argA,49.1946058,6,1,125.7414124,20.95690207
ACODA,b3957,argE,42.3468451,2,2,1411.561503,1411.561503
ADSL2r,b1131,purB,51.5421581,4,4,14.1483224,14.1483224
AHCYSNS,b0159,mtnN,24.3536853,2,2,2.6,2.6
AOXSr2,b0776,bioF,41.5937742,2,2,0.06,0.06
CYTK1,b0910,cmk,24.7460363,1,1,103,103
DAPDC,b2838,lysA,46.1767066,4,2,6.972,3.486
DB4PS,b3041,ribB,23.3532335,2,2,0.0590317847,0.0590317847
DHAD2,b3771,ilvD,65.5308741,2,2,68.80741781,68.80741781
DHDPRy,b0031,dapB,28.7562878,4,2,381.5000848,190.7500424
DHORD2,b0945,pyrD,36.7740758,1,1,19.7,19.7
DHPPDA2,b0414,ribD,40.337855,2,2,6.166,6.166
DHPS2,b3177,folP,30.6147663,2,2,6.684223976,6.684223976
DTMPK,b1098,tmk,23.7828486,1,1,7.9276162,7.9276162
FACOAE120,b0452,tesB,31.9659186,4,1,199.8935443,49.97338608
FCLT,b0475,hemH,35.8839654,1,1,0.0057813055,0.0057813055
G1PACT,b3730,glmU,49.1894964,3,1,5.410844604,1.803614868
G3PD2,b3608,gpsA,36.3611934,2,2,290.896,290.896
G5SD,b0243,proA,44.6295476,4,4,10.29465333,10.29465333
G6PDA,b0678,nagB,29.7738698,6,6,1800,1800
GAPD,b1779,gapA,35.5320683,4,2,268,134
GF6PTA,b3729,glmS,66.8935317,2,2,17.166,17.166
GHMT2r,b2551,glyA,45.3160548,2,1,11.44,5.72
GK1,b3648,gmk,23.5924243,2,2,73.5297224,73.5297224
GLUDy_reverse,b1761,gdhA,48.580831,6,6,37.3,37.3
GLUPRT,b2312,purF,56.4873932,4,2,111.2801646,55.6400823
GLYK,b3926,glpK,56.2301095,4,4,100,100
IGPS,b1262,trpC,49.491724,1,1,7.2,7.2
IMPD,b2508,guaB,52.0218558,4,2,48.55373208,24.27686604
IPMD,b0073,leuB,39.5165592,2,1,0.4166,0.2083
LPADSS,b0182,lpxB,42.3819724,8,4,258.5300316,129.2650158
ME2,b2463,maeB,82.4164419,6,6,66,66
METS,b3829,metE,84.6724709,1,1,3.528019621,3.528019621
MTHFC,b0529,folD,31.0433754,2,2,103.477918,103.477918
MTHFD,b0529,folD,31.0433754,2,2,16.14255521,16.14255521
ORPT_reverse,b3642,pyrE,23.5667061,2,1,21.21003549,10.60501775
PDX5POi,b1638,pdxH,25.5448351,2,2,1.72,1.72
PFK,b3916,pfkA,34.8416643,4,1,167,41.75
PGI_reverse,b4025,pgi,61.5290037,2,2,209,209
PGK,b2926,pgk,41.1177094,1,1,328.944,328.944
PGL,b0767,pgl,36.307204,1,1,2117.920233,2117.920233
PMPK,b2103,thiD,28.6332815,4,4,0.43,0.43
