abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	

camp	cAMP	C10H11N5O6P	-1	Cytosol	C00575		1484809	    
pimACP	Pimeloyl-[acyl-carrier protein]	C18H31N2O10PRS	-1	Cytosol	C19845		None
xu5p-L	L-Xylulose 5-phosphate	C5H9O8P	-2	Cytosol	C03291	None	41573	
mettrna	L-Methionyl-tRNA (Met)	C5H10NOSR	1	Cytosol	C02430		227723	
succoa	Succinyl-CoA	C25H35N7O19P3S	-5	Cytosol	C00091	604-98-8	33820	
dad-5	5'-Deoxyadenosine	C10H13N5O3	0	Cytosol	C05198		45324	
u3hga	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine	C29H50N3O18P2	-1	Cytosol	C06022		47227	
gp4g	P1,P4-Bis(5'-guanosyl) tetraphosphate	C20H24N10O21P4	-4	Cytosol	C01261		1484779	
pg161	Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)	C38H70O10P1	-1	Cytosol, Periplasm	C00344		2617854	
r1p	alpha-D-Ribose 1-phosphate	C5H9O8P	-2	Cytosol	C00620	58459-37-3	34994	
gg4abut	gamma-glutamyl-gamma aminobutyric acid	C9H15O5N2	-1	Cytosol	C15767		2224952	
lipidX	2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate	C34H64NO12P	-2	Cytosol	C04824	None	44628	
dsbdox	fused thiol:disulfide interchange protein (oxidized)	X	0	Cytosol			2703941	
6pgc	6-Phospho-D-gluconate	C6H10O10P	-3	Cytosol	C00345		34686	
udpLa4n	uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose	C14H22N3O15P2	-1	Cytosol	C16153		2374672	
cu2	Cu2+	Cu	2	Extra-organism, Cytosol, Periplasm	C00070		50600	
3haACP	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C15H27N2O9PRS	-1	Cytosol	C01271		37241	
toctd2eACP	trans-octadec-2-enoyl-[acyl-carrier protein]	C29H53N2O8PRS	-1	Cytosol	C16221		2618694	
trnaleu	tRNA(Leu)	R	0	Cytosol	C01645		38072	
mmet	S-Methyl-L-methionine	C6H14NO2S	1	Extra-organism, Cytosol, Periplasm	C03172		41336	
uacmam	UDP-N-acetyl-D-mannosamine	C17H25N3O17P2	-2	Cytosol	C01170		36973	
fru	D-Fructose	C6H12O6	0	Extra-organism, Cytosol, Periplasm	C00095	57-48-7	33835	
hlipa	heptosyl-kdo2-lipidA	C117H208N2O45P2	-6	Cytosol			2374859	
t3c11vaceACP	trans-3-cis-11-vacceoyl-[acyl-carrier protein]	C29H51N2O8PRS	-1	Cytosol			2617024	
2tpr3dpcoa	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	C26H40N7O26P5S	-6	Cytosol			2324025	
ca2	Calcium	Ca	2	Extra-organism, Cytosol, Periplasm	C00076	7440-70-2	33764	
cdpdhdecg	CDP-1,2-dihexadecanoylglycerol	C44H79N3O15P2	-2	Cytosol	C00269		2617620	
xu5p-D	D-Xylulose 5-phosphate	C5H9O8P	-2	Cytosol	C00231	None	34329	
butso3	butanesulfonate	C4H9O3S	-1	Extra-organism, Cytosol, Periplasm			2380361	
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	Cytosol	C04272		43492	
mmcoa-S	(S)-Methylmalonyl-CoA	C25H35N7O19P3S	-5	Cytosol	C00683		35689	
2ahbut	(S)-2-Aceto-2-hydroxybutanoate	C6H9O4	-1	Cytosol	C06006		35632	
akg	2-Oxoglutarate	C5H4O5	-2	Extra-organism, Cytosol, Periplasm	C00026	328-50-7	33565	
nad	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1	Cytosol	C00003	53-84-9	33480	
