Compound Name,Compound Id (KEGG),glc,glyc,ac,"E. coli (mM), WT(Mar), Ishii et al. 2007'","E. coli (mM), WT(Jun), Ishii et al. 2007'","E. coli (mM), WT(Jul), Ishii et al. 2007'","E. coli (mM), WT(Sep), Ishii et al. 2007'","E. coli (mM), WT(Oct), Ishii et al. 2007'","Human muscle (mM), Bergstrom et al. 1974'","S. cerevisiae (umol/G CDW), Hake Flask (n=4) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 1 (n=20) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 2 (n=20) , Ewald et al. 2009'","S. cerevisiae (mM), Glucose, Fendt et al. 2010'","S. cerevisiae (mM), Galactose, Fendt et al. 2010'","S. cerevisiae (mM), Ethanol, Fendt et al. 2010'","S. cerevisiae (mM), CEN.PK 113-7D, Kummel et al. 2010'","S. cerevisiae (mM), CEN-PK JT4, Kummel et al. 2010'","S. cerevisiae (mM), FY4, Kummel et al. 2010'","Bacillus subtilis (mM), Glucose,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 1,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 2,  Kleijn et al. 2010'"
'ATP',2,9.63,8.98,4.14,1.26,1.95,1.31,1.37,0.263,nan,nan,nan,nan,3.39,3.94,1.16,nan,nan,nan,nan,nan,nan
'NAD+',3,2.55,4.08,2.43,0.585,0.763,0.793,1.25,0.209,nan,nan,nan,nan,0.47,0.57,0.14,1.504,1.344,0.996,nan,nan,nan
'NADH',4,0.0832,0.129,0.135,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45,0.47,0.4,nan,nan,nan,nan,nan,nan
'NADPH',5,0.115,0.255,0.267,nan,nan,0.163,nan,nan,nan,nan,nan,nan,0.07,0.08,0.07,nan,nan,nan,nan,nan,nan
'NADP+',6,0.00208,nan,nan,0.0957,0.135,0.11,0.0699,0.0263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'ADP',8,0.555,0.149,0.189,0.605,0.89,0.564,0.58,0.173,nan,nan,nan,nan,0.63,0.72,0.59,0.561,0.56,0.339,nan,nan,nan
'CoA',10,1.37,4.54,3.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13,0.16,0.23
'UDP',15,1.79,nan,nan,0.444,2.49,0.386,0.887,0.561,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'FAD',16,0.173,0.209,0.0493,0.0358,0.0273,0.0377,0.0279,0.00468,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Pyridoxal phosphate',18,nan,nan,nan,nan,0.244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'S-Adenosyl-L-methionine',19,0.184,1.1,0.388,nan,0.166,0.0442,0.203,0.108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'AMP',20,0.281,0.156,0.101,0.653,0.704,0.7,0.543,0.253,nan,nan,nan,nan,0.16,0.17,0.19,0.121,0.194,0.055,nan,nan,nan
