bnumber,Chemostat u=0.21 (1),Chemostat u=0.31 (1),Chemostat u=0.41,Chemostat u=0.22,Chemostat u=0.26,Chemostat u=0.36,Chemostat u=0.46,Chemostat u=0.51
b0002,2678.8649707078,3488.8810754078,4547.327733345,2699.9860296967,3132.1105721902,4021.7057474852,5126.8949789738,5560.6431266575
b0003,483.0550421658,605.6666574296,808.6377696475,516.4583669946,554.7553147368,776.6009196503,847.816827485,947.2643450545
b0004,4480.0565577454,5271.3733133654,6219.871408253,4463.8025540106,4856.2547149327,5820.5638918858,6908.6864200458,7606.5835381013
b0006,177.4009533148,,,,219.4827637015,,,208.5613940429
b0008,15678.3703858761,15830.9044925849,16228.3836222735,15145.2688196726,16126.0431162614,16072.6503558217,16283.6874222897,16753.15186449
b0009,,,,95.5617441968,90.2763222361,,,72.7289427567
b0014,12514.4650675623,11915.5800771589,11611.9614913853,12638.8034621028,12273.7654779301,11865.9301778375,12156.9741295893,11991.443382088
b0015,528.8076183042,537.247857876,514.770902425,543.5836408741,560.5939961979,557.5725665037,567.9097446306,542.3688084058
b0023,12378.2656367951,15223.1502005741,18028.9622684521,12700.6258892959,13526.4271078952,16281.8618812358,20196.5378817482,20949.0586389013
b0025,,,,713.1979516989,,,647.9438078726,649.5567366576
b0026,1788.0091104938,1868.4509480762,1762.2184052409,1802.4986748029,1894.5511696029,1799.8118833597,1819.7602416516,1747.9888752771
b0028,464.428843571,529.4187113939,529.9645038153,495.9032064206,462.2030782047,523.5970683251,495.3661854329,482.2567488023
b0029,154.0065352223,,144.8634741647,,,,131.4455339532,137.0020683741
b0030,,,,,72.1593909684,,,
b0031,573.5646113281,512.8438488789,612.017107266,488.0892592046,493.1406341962,556.6733476855,732.0547619948,873.7063476553
b0032,1058.4980934703,1552.6822683993,2058.8620880999,1093.1889988783,1302.7925877012,1725.5782969884,2363.0153413917,2678.3718621035
b0033,1251.894905478,1707.8381285006,2055.2860240741,1274.9415351638,1544.6606383771,1834.4779522989,2344.0762084069,2631.3339649882
b0048,,,,,,,,69.238008905
b0049,,74.9221787564,59.3963276718,90.3839332456,62.2431650523,,,58.3782038811
b0051,141.4333273634,159.2961377709,219.4802539664,148.4914286884,,167.2711789105,187.3704060345,207.15050395
b0053,1338.3141597753,1176.2699176241,1052.9116135939,1325.4034914048,1217.1191359688,1147.8959865609,1133.3259672796,1086.1758766635
b0054,297.0156635754,278.2639182647,254.6886890665,286.2109093558,281.868085458,267.8515537939,252.8190298984,253.4437325723
b0059,53.1124217286,65.969193628,76.7060822876,60.749043157,63.5964114098,62.9401355579,81.7993687218,81.8782880694
b0068,383.883557853,441.2733341837,404.4174687475,346.1499218432,423.9578068962,415.8722366783,417.9023261976,460.1574806485
b0071,6811.8236770238,7017.9773370881,6460.4917016981,7313.3083221056,7133.4094162471,6864.7516288853,5923.3629108867,5735.5233970526
b0072,4922.8033310262,5098.7856334504,4701.1053926996,5005.8777894088,4992.8347208517,4890.1566811909,4255.8404185327,4037.3496116308
b0073,4665.9190081009,4571.5972010526,3842.2022568691,4890.0473842278,4820.7331371148,4372.0701741684,3768.0560964976,3404.8796932444
b0074,5542.0214121595,5439.3482992927,4353.292758714,5740.9812100068,5547.0243022826,4719.8286591105,3902.5577727576,3534.0625964437
b0077,520.6696462256,495.0597628646,488.6167818071,511.0104293067,509.426009354,485.2096747344,497.3550366926,496.6905346466
b0078,1235.1600112969,1251.2752668451,1064.9958370909,1099.8779424896,1181.1206595769,1077.1467836938,1112.8624159334,1137.7812330514
b0080,154.5830324425,168.3412477086,142.3494503295,198.583356908,210.1017327187,144.0739962723,,91.906548437
b0082,157.1578529486,161.4404484568,139.6209863011,147.3534040345,121.9713064212,134.1601086071,143.494232218,137.0847536678
b0085,84.3009638324,69.9605514455,85.6660569684,79.1151711012,90.8042668401,84.3084353546,91.5090227877,98.0135933804
b0086,30.7291585051,40.047587284,48.805214312,41.7792969321,40.4781680112,52.6580549025,,47.4932726302
b0088,155.7817685634,125.3946394557,126.7178049889,143.2775356693,136.1337454336,116.7285656849,202.9468297999,169.9065886778
b0090,42.9748597997,55.7639298387,53.3793860868,45.6209864514,47.437580042,46.4949317185,50.1596670402,56.7412784761
b0091,45.4737662259,45.2452424763,52.1955065798,50.9428226729,51.4689402621,,49.1108424816,57.20596195
b0092,69.9387019009,78.1708115355,62.0459155002,77.026586609,,,,
b0094,201.6443859408,208.9296693642,193.8882050621,218.148399993,197.5639057697,189.3323838573,196.7962394685,211.353049925
b0095,2354.1845644941,2334.7347934779,2270.9166642933,2378.7667330076,2399.2737588369,2349.2790412632,2293.2337888823,2352.9656736259
b0096,141.1270128062,53.9701345987,49.0459353521,77.5634849382,72.269134692,,56.019781268,53.3290882435
b0098,668.7189632228,640.6415500853,586.9917331314,674.4744788463,702.7304789038,619.8168395967,598.4769193877,574.36633143
b0102,94.6239603209,97.1469169368,95.3418144495,,90.8393458509,84.9588377616,,77.1274778346
b0104,602.1115311387,773.6216666277,978.4919803655,566.8504639875,662.3934867573,888.2906692532,1118.8225422293,1106.6700961222
b0109,166.297917265,166.4603828771,149.7360111561,178.2919110809,172.1608763725,156.1149412022,151.9385378279,140.7403399318
b0112,159.9932776926,162.7143754841,166.9685812198,162.200572871,174.4137078539,181.4217067025,173.4288894096,159.8402468708
b0113,,,,,,,,
b0114,5695.2007404171,5785.3401796989,5743.8288151365,5749.4155165466,5779.4377687945,5898.5855991586,5893.3929793587,5876.5651938792
b0115,4538.4774980091,4503.4431380078,4523.7361569286,4609.2137010419,4588.5558432766,4654.7544434924,4555.5955306654,4672.8426854752
b0116,10882.423608282,12005.8284196874,11803.6968792759,11016.7251625016,11786.5434373006,12489.9941353044,11687.9612858846,10563.2848617799
b0118,22299.2036609824,19752.9116552962,13413.5042731024,22157.9518817464,22457.405948124,16145.551370128,11687.3914304249,9836.7228995457
b0119,273.5714820488,118.5574085902,107.7110179433,,,,120.9932687898,127.4003630185
b0120,201.3540780368,291.270949027,368.468295042,205.1677235003,232.3299234782,316.2732811633,434.1786781575,459.0951828551
b0121,270.4258868544,301.2752724051,378.5861198255,249.9067868587,269.2844732659,356.0436936865,382.4438990291,397.9747441199
b0122,,,,,,,,
b0123,259.3221468225,275.5009241466,263.8732942864,240.4697166598,265.3833340459,296.0564402371,278.7351656064,296.8827625823
b0124,50.7603665401,39.9676280613,48.6268331493,47.1990735951,42.171872835,53.8461597209,61.0909676861,57.7844855809
b0125,678.6310460554,712.8727293494,656.9968615168,711.1841490974,701.5348688815,638.7521718389,694.6557927147,742.1963482542
